timestep	swarm_quality	color_0	color_1	color_2	color_3	color_4
0	0.70	70	13	4	5	8
1	0.70	70	13	4	5	8
2	0.70	70	13	4	5	8
3	0.70	70	13	4	5	8
4	0.70	70	13	4	5	8
5	0.70	70	13	4	5	8
6	0.70	70	13	4	5	8
7	0.70	70	13	4	5	8
8	0.70	70	13	4	5	8
9	0.70	70	13	4	5	8
10	0.70	70	13	4	5	8
11	0.70	70	13	4	5	8
12	0.70	70	13	4	5	8
13	0.70	70	13	4	5	8
14	0.70	70	13	4	5	8
15	0.69	69	13	4	5	9
16	0.69	69	13	4	5	9
17	0.69	69	13	4	5	9
18	0.69	69	13	4	5	9
19	0.69	69	13	4	5	9
20	0.69	69	13	4	5	9
21	0.69	69	13	4	5	9
22	0.69	69	13	4	5	9
23	0.68	68	14	4	5	9
24	0.68	68	14	4	5	9
25	0.68	68	14	4	5	9
26	0.68	68	14	4	5	9
27	0.68	68	14	4	5	9
28	0.67	67	15	4	5	9
29	0.67	67	15	4	5	9
30	0.67	67	15	4	5	9
31	0.67	67	15	4	5	9
32	0.67	67	15	4	5	9
33	0.67	67	15	4	5	9
34	0.67	67	15	4	5	9
35	0.67	67	15	4	5	9
36	0.67	67	15	4	5	9
37	0.67	67	15	4	5	9
38	0.67	67	15	4	5	9
39	0.67	67	15	4	5	9
40	0.67	67	15	4	5	9
41	0.67	67	15	4	5	9
42	0.67	67	15	4	5	9
43	0.67	67	15	4	5	9
44	0.67	67	15	4	5	9
45	0.67	67	15	4	5	9
46	0.67	67	15	4	5	9
47	0.67	67	15	4	5	9
48	0.67	67	15	4	5	9
49	0.67	67	15	4	5	9
50	0.67	67	15	4	5	9
51	0.67	67	15	4	5	9
52	0.67	67	15	4	5	9
53	0.67	67	15	4	5	9
54	0.67	67	15	4	5	9
55	0.67	67	15	4	5	9
56	0.67	67	15	4	5	9
57	0.67	67	15	4	5	9
58	0.67	67	15	4	5	9
59	0.67	67	15	4	5	9
60	0.67	67	15	4	5	9
61	0.67	67	15	4	5	9
62	0.67	67	15	4	5	9
63	0.67	67	15	4	5	9
64	0.67	67	15	4	5	9
65	0.67	67	15	4	5	9
66	0.67	67	15	4	5	9
67	0.67	67	15	4	5	9
68	0.67	67	15	4	5	9
69	0.67	67	15	4	5	9
70	0.68	68	15	3	5	9
71	0.69	69	14	3	5	9
72	0.70	70	14	2	5	9
73	0.71	71	14	2	5	8
74	0.72	72	13	2	5	8
75	0.73	73	13	1	5	8
76	0.74	74	13	1	5	7
77	0.75	75	12	1	5	7
78	0.76	76	11	1	5	7
79	0.77	77	10	1	5	7
80	0.78	78	9	1	5	7
81	0.79	79	8	1	5	7
82	0.80	80	8	1	4	7
83	0.81	81	7	1	4	7
84	0.82	82	7	1	4	6
85	0.83	83	6	1	4	6
86	0.84	84	6	1	4	5
