timestep	swarm_quality	color_0	color_1
0	0.70	70	30
1	0.70	70	30
2	0.70	70	30
3	0.69	69	31
4	0.69	69	31
5	0.69	69	31
6	0.69	69	31
7	0.68	68	32
8	0.68	68	32
9	0.68	68	32
10	0.68	68	32
11	0.68	68	32
12	0.68	68	32
13	0.68	68	32
14	0.68	68	32
15	0.68	68	32
16	0.68	68	32
17	0.68	68	32
18	0.68	68	32
19	0.67	67	33
20	0.67	67	33
21	0.67	67	33
22	0.66	66	34
23	0.66	66	34
24	0.66	66	34
25	0.66	66	34
26	0.66	66	34
27	0.66	66	34
28	0.65	65	35
29	0.64	64	36
30	0.64	64	36
31	0.63	63	37
32	0.63	63	37
33	0.62	62	38
34	0.62	62	38
35	0.62	62	38
36	0.62	62	38
37	0.62	62	38
38	0.62	62	38
39	0.62	62	38
40	0.62	62	38
41	0.62	62	38
42	0.62	62	38
43	0.61	61	39
44	0.61	61	39
45	0.60	60	40
46	0.59	59	41
47	0.58	58	42
48	0.58	58	42
49	0.57	57	43
50	0.57	57	43
51	0.57	57	43
52	0.56	56	44
53	0.56	56	44
54	0.56	56	44
55	0.55	55	45
56	0.55	55	45
57	0.55	55	45
58	0.55	55	45
59	0.54	54	46
60	0.54	54	46
61	0.54	54	46
62	0.54	54	46
63	0.54	54	46
64	0.54	54	46
65	0.53	53	47
66	0.53	53	47
67	0.53	53	47
68	0.53	53	47
69	0.53	53	47
70	0.54	54	46
71	0.54	54	46
72	0.55	55	45
73	0.56	56	44
74	0.57	57	43
75	0.58	58	42
76	0.59	59	41
77	0.60	60	40
78	0.60	60	40
79	0.60	60	40
80	0.60	60	40
81	0.60	60	40
82	0.61	61	39
83	0.62	62	38
84	0.63	63	37
85	0.64	64	36
86	0.65	65	35
87	0.65	65	35
88	0.65	65	35
89	0.65	65	35
90	0.65	65	35
91	0.65	65	35
92	0.66	66	34
93	0.67	67	33
94	0.68	68	32
95	0.69	69	31
96	0.70	70	30
97	0.71	71	29
98	0.72	72	28
99	0.73	73	27
100	0.73	73	27
101	0.73	73	27
102	0.73	73	27
103	0.74	74	26
104	0.74	74	26
105	0.74	74	26
106	0.74	74	26
107	0.75	75	25
108	0.75	75	25
109	0.74	74	26
110	0.74	74	26
111	0.74	74	26
112	0.74	74	26
113	0.74	74	26
114	0.73	73	27
115	0.73	73	27
116	0.73	73	27
117	0.73	73	27
118	0.73	73	27
119	0.73	73	27
120	0.72	72	28
121	0.71	71	29
122	0.71	71	29
123	0.71	71	29
124	0.71	71	29
125	0.71	71	29
126	0.71	71	29
127	0.71	71	29
128	0.72	72	28
129	0.73	73	27
130	0.73	73	27
131	0.74	74	26
132	0.74	74	26
133	0.75	75	25
134	0.74	74	26
135	0.74	74	26
136	0.74	74	26
137	0.74	74	26
138	0.74	74	26
139	0.73	73	27
140	0.73	73	27
141	0.73	73	27
142	0.73	73	27
143	0.74	74	26
144	0.74	74	26
145	0.75	75	25
146	0.76	76	24
147	0.77	77	23
148	0.77	77	23
149	0.78	78	22
150	0.77	77	23
151	0.77	77	23
152	0.78	78	22
153	0.78	78	22
154	0.78	78	22
155	0.79	79	21
156	0.79	79	21
157	0.79	79	21
158	0.79	79	21
159	0.80	80	20
160	0.79	79	21
161	0.79	79	21
162	0.79	79	21
163	0.79	79	21
164	0.79	79	21
165	0.80	80	20
166	0.80	80	20
167	0.79	79	21
168	0.79	79	21
169	0.79	79	21
170	0.79	79	21
171	0.80	80	20
172	0.79	79	21
173	0.78	78	22
174	0.78	78	22
175	0.78	78	22
176	0.78	78	22
177	0.77	77	23
178	0.78	78	22
179	0.79	79	21
180	0.80	80	20
181	0.80	80	20
182	0.79	79	21
183	0.78	78	22
184	0.78	78	22
185	0.77	77	23
186	0.77	77	23
187	0.77	77	23
188	0.78	78	22
189	0.79	79	21
190	0.80	80	20
191	0.81	81	19
192	0.81	81	19
193	0.81	81	19
194	0.81	81	19
195	0.81	81	19
196	0.81	81	19
197	0.81	81	19
198	0.81	81	19
199	0.81	81	19
200	0.81	81	19
201	0.81	81	19
202	0.81	81	19
203	0.81	81	19
204	0.81	81	19
205	0.80	80	20
206	0.80	80	20
207	0.79	79	21
208	0.78	78	22
209	0.79	79	21
210	0.79	79	21
211	0.79	79	21
212	0.79	79	21
213	0.78	78	22
214	0.79	79	21
215	0.79	79	21
216	0.79	79	21
217	0.79	79	21
218	0.79	79	21
219	0.80	80	20
220	0.81	81	19
221	0.82	82	18
222	0.83	83	17
223	0.83	83	17
224	0.83	83	17
225	0.83	83	17
226	0.83	83	17
227	0.83	83	17
228	0.83	83	17
229	0.83	83	17
230	0.83	83	17
231	0.82	82	18
232	0.82	82	18
233	0.82	82	18
234	0.83	83	17
235	0.83	83	17
236	0.83	83	17
237	0.83	83	17
238	0.83	83	17
239	0.83	83	17
240	0.83	83	17
241	0.82	82	18
242	0.81	81	19
243	0.81	81	19
244	0.81	81	19
245	0.81	81	19
246	0.81	81	19
247	0.81	81	19
248	0.81	81	19
249	0.80	80	20
250	0.81	81	19
251	0.81	81	19
252	0.81	81	19
253	0.81	81	19
254	0.81	81	19
255	0.81	81	19
256	0.81	81	19
257	0.80	80	20
258	0.80	80	20
259	0.80	80	20
260	0.81	81	19
261	0.81	81	19
262	0.81	81	19
263	0.81	81	19
264	0.81	81	19
265	0.81	81	19
266	0.81	81	19
267	0.82	82	18
268	0.82	82	18
269	0.81	81	19
270	0.81	81	19
271	0.81	81	19
272	0.82	82	18
273	0.83	83	17
274	0.83	83	17
275	0.83	83	17
276	0.83	83	17
277	0.83	83	17
278	0.83	83	17
279	0.83	83	17
280	0.83	83	17
281	0.84	84	16
282	0.85	85	15
283	0.86	86	14
284	0.86	86	14
285	0.87	87	13
286	0.87	87	13
287	0.88	88	12
288	0.88	88	12
289	0.88	88	12
290	0.88	88	12
291	0.88	88	12
292	0.88	88	12
293	0.88	88	12
294	0.88	88	12
295	0.87	87	13
296	0.87	87	13
297	0.87	87	13
298	0.87	87	13
299	0.87	87	13
300	0.87	87	13
301	0.87	87	13
302	0.87	87	13
303	0.87	87	13
304	0.87	87	13
305	0.88	88	12
306	0.88	88	12
307	0.89	89	11
308	0.90	90	10
309	0.90	90	10
310	0.90	90	10
311	0.90	90	10
312	0.90	90	10
313	0.91	91	9
314	0.91	91	9
315	0.91	91	9
316	0.91	91	9
317	0.91	91	9
318	0.91	91	9
319	0.91	91	9
320	0.91	91	9
321	0.91	91	9
322	0.91	91	9
323	0.91	91	9
324	0.91	91	9
325	0.91	91	9
326	0.91	91	9
327	0.91	91	9
328	0.91	91	9
329	0.91	91	9
330	0.90	90	10
331	0.91	91	9
332	0.91	91	9
333	0.91	91	9
334	0.91	91	9
335	0.91	91	9
336	0.91	91	9
337	0.91	91	9
338	0.91	91	9
339	0.91	91	9
340	0.91	91	9
341	0.92	92	8
342	0.93	93	7
343	0.93	93	7
344	0.93	93	7
345	0.93	93	7
346	0.93	93	7
347	0.93	93	7
348	0.93	93	7
349	0.94	94	6
350	0.94	94	6
351	0.94	94	6
352	0.93	93	7
353	0.93	93	7
354	0.93	93	7
355	0.93	93	7
356	0.93	93	7
357	0.94	94	6
358	0.94	94	6
359	0.94	94	6
360	0.94	94	6
361	0.94	94	6
362	0.94	94	6
363	0.94	94	6
364	0.94	94	6
365	0.94	94	6
366	0.94	94	6
367	0.94	94	6
368	0.94	94	6
369	0.95	95	5
370	0.95	95	5
371	0.95	95	5
372	0.95	95	5
373	0.95	95	5
374	0.95	95	5
375	0.95	95	5
376	0.95	95	5
377	0.96	96	4
378	0.96	96	4
379	0.96	96	4
380	0.96	96	4
381	0.96	96	4
382	0.96	96	4
383	0.96	96	4
384	0.96	96	4
385	0.96	96	4
386	0.96	96	4
387	0.96	96	4
388	0.96	96	4
389	0.96	96	4
390	0.96	96	4
391	0.96	96	4
392	0.96	96	4
393	0.96	96	4
394	0.96	96	4
395	0.97	97	3
396	0.97	97	3
397	0.96	96	4
398	0.96	96	4
399	0.96	96	4
400	0.96	96	4
401	0.96	96	4
402	0.96	96	4
403	0.96	96	4
404	0.96	96	4
405	0.96	96	4
406	0.96	96	4
407	0.96	96	4
408	0.96	96	4
409	0.96	96	4
410	0.96	96	4
411	0.96	96	4
412	0.96	96	4
413	0.96	96	4
414	0.96	96	4
415	0.96	96	4
416	0.96	96	4
417	0.96	96	4
418	0.96	96	4
419	0.96	96	4
420	0.96	96	4
421	0.95	95	5
422	0.95	95	5
423	0.95	95	5
424	0.95	95	5
425	0.95	95	5
426	0.95	95	5
427	0.95	95	5
428	0.95	95	5
429	0.95	95	5
430	0.96	96	4
431	0.95	95	5
432	0.94	94	6
433	0.94	94	6
434	0.94	94	6
435	0.94	94	6
436	0.94	94	6
437	0.94	94	6
438	0.94	94	6
439	0.95	95	5
440	0.95	95	5
441	0.94	94	6
442	0.94	94	6
443	0.93	93	7
444	0.93	93	7
445	0.93	93	7
446	0.93	93	7
447	0.93	93	7
448	0.93	93	7
449	0.93	93	7
450	0.93	93	7
451	0.92	92	8
452	0.93	93	7
453	0.93	93	7
454	0.93	93	7
455	0.93	93	7
456	0.93	93	7
457	0.93	93	7
458	0.93	93	7
459	0.93	93	7
460	0.93	93	7
461	0.93	93	7
462	0.93	93	7
463	0.93	93	7
464	0.93	93	7
465	0.93	93	7
466	0.92	92	8
467	0.92	92	8
468	0.92	92	8
469	0.92	92	8
470	0.92	92	8
471	0.91	91	9
472	0.91	91	9
473	0.91	91	9
474	0.91	91	9
475	0.91	91	9
476	0.91	91	9
477	0.91	91	9
478	0.91	91	9
479	0.91	91	9
480	0.91	91	9
481	0.91	91	9
482	0.91	91	9
483	0.91	91	9
484	0.90	90	10
485	0.90	90	10
486	0.90	90	10
487	0.90	90	10
488	0.90	90	10
489	0.89	89	11
490	0.89	89	11
491	0.89	89	11
492	0.89	89	11
493	0.89	89	11
494	0.89	89	11
495	0.88	88	12
496	0.87	87	13
497	0.87	87	13
498	0.87	87	13
499	0.87	87	13
500	0.87	87	13
501	0.87	87	13
502	0.87	87	13
503	0.87	87	13
504	0.87	87	13
505	0.86	86	14
506	0.86	86	14
507	0.86	86	14
508	0.86	86	14
509	0.86	86	14
510	0.86	86	14
511	0.86	86	14
512	0.85	85	15
513	0.85	85	15
514	0.85	85	15
515	0.85	85	15
516	0.85	85	15
517	0.85	85	15
518	0.85	85	15
519	0.85	85	15
520	0.85	85	15
521	0.86	86	14
522	0.85	85	15
523	0.85	85	15
524	0.85	85	15
525	0.85	85	15
526	0.85	85	15
527	0.85	85	15
528	0.84	84	16
529	0.84	84	16
530	0.84	84	16
531	0.84	84	16
532	0.85	85	15
533	0.85	85	15
534	0.85	85	15
535	0.85	85	15
536	0.85	85	15
537	0.84	84	16
538	0.84	84	16
539	0.84	84	16
540	0.84	84	16
541	0.85	85	15
542	0.85	85	15
543	0.86	86	14
544	0.86	86	14
545	0.86	86	14
546	0.86	86	14
547	0.86	86	14
548	0.85	85	15
549	0.85	85	15
550	0.85	85	15
551	0.86	86	14
552	0.85	85	15
553	0.85	85	15
554	0.85	85	15
555	0.85	85	15
556	0.85	85	15
557	0.84	84	16
558	0.84	84	16
559	0.83	83	17
560	0.83	83	17
561	0.83	83	17
562	0.83	83	17
563	0.83	83	17
564	0.83	83	17
565	0.83	83	17
566	0.84	84	16
567	0.84	84	16
568	0.84	84	16
569	0.84	84	16
570	0.84	84	16
571	0.85	85	15
572	0.84	84	16
573	0.84	84	16
574	0.84	84	16
575	0.84	84	16
576	0.84	84	16
577	0.84	84	16
578	0.84	84	16
579	0.84	84	16
580	0.83	83	17
581	0.83	83	17
582	0.83	83	17
583	0.83	83	17
584	0.84	84	16
585	0.84	84	16
586	0.83	83	17
587	0.83	83	17
588	0.83	83	17
589	0.84	84	16
590	0.84	84	16
591	0.84	84	16
592	0.84	84	16
593	0.83	83	17
594	0.83	83	17
595	0.84	84	16
596	0.85	85	15
597	0.86	86	14
598	0.86	86	14
599	0.86	86	14
600	0.85	85	15
601	0.85	85	15
602	0.85	85	15
603	0.85	85	15
604	0.85	85	15
605	0.86	86	14
606	0.86	86	14
607	0.86	86	14
608	0.86	86	14
609	0.86	86	14
610	0.86	86	14
611	0.86	86	14
612	0.87	87	13
613	0.87	87	13
614	0.87	87	13
615	0.87	87	13
616	0.87	87	13
617	0.87	87	13
618	0.87	87	13
619	0.87	87	13
620	0.87	87	13
621	0.87	87	13
622	0.88	88	12
623	0.88	88	12
624	0.88	88	12
625	0.88	88	12
626	0.88	88	12
627	0.88	88	12
628	0.89	89	11
629	0.89	89	11
630	0.89	89	11
631	0.90	90	10
632	0.90	90	10
633	0.90	90	10
634	0.89	89	11
635	0.89	89	11
636	0.89	89	11
637	0.90	90	10
638	0.90	90	10
639	0.90	90	10
640	0.90	90	10
641	0.90	90	10
642	0.90	90	10
643	0.89	89	11
644	0.89	89	11
