timestep	swarm_quality	color_0	color_1
0	0.68	34	16
1	0.68	34	16
2	0.66	33	17
3	0.66	33	17
4	0.66	33	17
5	0.66	33	17
6	0.66	33	17
7	0.66	33	17
8	0.64	32	18
9	0.64	32	18
10	0.64	32	18
11	0.64	32	18
12	0.64	32	18
13	0.64	32	18
14	0.64	32	18
15	0.64	32	18
16	0.64	32	18
17	0.64	32	18
18	0.62	31	19
19	0.62	31	19
20	0.62	31	19
21	0.60	30	20
22	0.60	30	20
23	0.58	29	21
24	0.58	29	21
25	0.58	29	21
26	0.58	29	21
27	0.58	29	21
28	0.58	29	21
29	0.58	29	21
30	0.58	29	21
31	0.58	29	21
32	0.56	28	22
33	0.56	28	22
34	0.56	28	22
35	0.58	29	21
36	0.60	30	20
37	0.62	31	19
38	0.62	31	19
39	0.64	32	18
40	0.66	33	17
41	0.68	34	16
42	0.70	35	15
43	0.72	36	14
44	0.74	37	13
45	0.76	38	12
46	0.78	39	11
47	0.78	39	11
48	0.80	40	10
49	0.82	41	9
50	0.84	42	8
51	0.84	42	8
52	0.84	42	8
53	0.84	42	8
54	0.84	42	8
55	0.84	42	8
56	0.84	42	8
57	0.84	42	8
58	0.86	43	7
59	0.86	43	7
60	0.86	43	7
61	0.86	43	7
62	0.86	43	7
63	0.86	43	7
64	0.86	43	7
65	0.86	43	7
66	0.86	43	7
67	0.86	43	7
68	0.88	44	6
69	0.86	43	7
70	0.86	43	7
71	0.88	44	6
72	0.88	44	6
73	0.90	45	5
74	0.90	45	5
75	0.90	45	5
76	0.90	45	5
77	0.90	45	5
78	0.90	45	5
79	0.90	45	5
80	0.90	45	5
81	0.90	45	5
82	0.92	46	4
83	0.90	45	5
84	0.90	45	5
85	0.90	45	5
86	0.90	45	5
87	0.90	45	5
88	0.90	45	5
89	0.88	44	6
90	0.88	44	6
91	0.88	44	6
92	0.88	44	6
93	0.88	44	6
94	0.88	44	6
95	0.86	43	7
96	0.86	43	7
97	0.88	44	6
98	0.88	44	6
99	0.88	44	6
100	0.88	44	6
101	0.86	43	7
102	0.86	43	7
103	0.84	42	8
104	0.84	42	8
105	0.84	42	8
106	0.84	42	8
107	0.84	42	8
108	0.84	42	8
109	0.82	41	9
110	0.80	40	10
111	0.80	40	10
112	0.78	39	11
113	0.78	39	11
114	0.78	39	11
115	0.76	38	12
116	0.74	37	13
117	0.74	37	13
118	0.72	36	14
119	0.74	37	13
120	0.74	37	13
121	0.74	37	13
122	0.74	37	13
123	0.74	37	13
124	0.74	37	13
125	0.74	37	13
126	0.74	37	13
127	0.74	37	13
128	0.74	37	13
129	0.74	37	13
130	0.72	36	14
131	0.72	36	14
132	0.72	36	14
133	0.74	37	13
134	0.74	37	13
135	0.74	37	13
136	0.74	37	13
137	0.74	37	13
138	0.76	38	12
139	0.78	39	11
140	0.78	39	11
141	0.78	39	11
142	0.78	39	11
143	0.78	39	11
144	0.78	39	11
145	0.80	40	10
146	0.80	40	10
147	0.80	40	10
148	0.80	40	10
149	0.80	40	10
150	0.80	40	10
151	0.82	41	9
152	0.84	42	8
153	0.86	43	7
154	0.84	42	8
155	0.84	42	8
156	0.84	42	8
157	0.84	42	8
158	0.84	42	8
159	0.86	43	7
160	0.88	44	6
161	0.88	44	6
162	0.90	45	5
163	0.90	45	5
164	0.90	45	5
165	0.92	46	4
166	0.94	47	3
167	0.94	47	3
168	0.96	48	2
169	0.96	48	2
170	0.96	48	2
171	0.94	47	3
172	0.94	47	3
173	0.94	47	3
174	0.94	47	3
175	0.94	47	3
176	0.94	47	3
177	0.94	47	3
178	0.92	46	4
179	0.92	46	4
180	0.94	47	3
181	0.94	47	3
182	0.94	47	3
183	0.94	47	3
184	0.92	46	4
185	0.92	46	4
186	0.90	45	5
187	0.90	45	5
188	0.90	45	5
189	0.90	45	5
190	0.90	45	5
191	0.90	45	5
192	0.90	45	5
193	0.90	45	5
194	0.90	45	5
195	0.88	44	6
196	0.88	44	6
197	0.88	44	6
198	0.88	44	6
199	0.88	44	6
200	0.88	44	6
201	0.88	44	6
202	0.88	44	6
203	0.88	44	6
204	0.90	45	5
205	0.90	45	5
206	0.90	45	5
207	0.88	44	6
208	0.88	44	6
209	0.88	44	6
210	0.88	44	6
211	0.88	44	6
212	0.88	44	6
213	0.88	44	6
214	0.88	44	6
215	0.88	44	6
216	0.88	44	6
217	0.88	44	6
218	0.88	44	6
219	0.88	44	6
220	0.86	43	7
221	0.88	44	6
222	0.88	44	6
223	0.88	44	6
224	0.88	44	6
225	0.88	44	6
226	0.88	44	6
227	0.88	44	6
228	0.90	45	5
229	0.90	45	5
230	0.90	45	5
231	0.90	45	5
232	0.90	45	5
233	0.90	45	5
234	0.92	46	4
235	0.92	46	4
236	0.94	47	3
237	0.94	47	3
238	0.94	47	3
239	0.94	47	3
240	0.94	47	3
241	0.94	47	3
242	0.94	47	3
243	0.94	47	3
244	0.94	47	3
245	0.96	48	2
246	0.96	48	2
247	0.96	48	2
248	0.96	48	2
249	0.96	48	2
250	0.94	47	3
251	0.94	47	3
252	0.94	47	3
253	0.94	47	3
254	0.94	47	3
255	0.94	47	3
256	0.94	47	3
257	0.96	48	2
258	0.96	48	2
259	0.96	48	2
260	0.96	48	2
261	0.96	48	2
262	0.94	47	3
263	0.94	47	3
264	0.94	47	3
265	0.94	47	3
266	0.92	46	4
267	0.92	46	4
268	0.92	46	4
269	0.92	46	4
270	0.94	47	3
271	0.94	47	3
272	0.94	47	3
273	0.94	47	3
274	0.94	47	3
275	0.94	47	3
276	0.94	47	3
277	0.94	47	3
278	0.94	47	3
279	0.94	47	3
280	0.94	47	3
281	0.94	47	3
282	0.94	47	3
283	0.94	47	3
284	0.94	47	3
285	0.94	47	3
286	0.94	47	3
287	0.94	47	3
288	0.94	47	3
289	0.94	47	3
290	0.94	47	3
291	0.94	47	3
292	0.94	47	3
293	0.94	47	3
294	0.94	47	3
295	0.94	47	3
296	0.94	47	3
297	0.94	47	3
298	0.94	47	3
299	0.94	47	3
300	0.96	48	2
301	0.96	48	2
302	0.96	48	2
303	0.96	48	2
304	0.96	48	2
305	0.96	48	2
306	0.96	48	2
307	0.96	48	2
308	0.96	48	2
309	0.96	48	2
310	0.96	48	2
311	0.96	48	2
312	0.98	49	1
313	0.98	49	1
314	0.98	49	1
315	0.98	49	1
316	1.00	50	0
317	1.00	50	0
318	1.00	50	0
319	1.00	50	0
320	1.00	50	0
321	1.00	50	0
322	1.00	50	0
323	0.98	49	1
324	0.98	49	1
325	0.98	49	1
326	0.98	49	1
327	0.98	49	1
328	0.98	49	1
