timestep	swarm_quality	color_0	color_1
0	0.69	69	31
1	0.68	68	32
2	0.68	68	32
3	0.68	68	32
4	0.68	68	32
5	0.68	68	32
6	0.67	67	33
7	0.67	67	33
8	0.67	67	33
9	0.66	66	34
10	0.65	65	35
11	0.65	65	35
12	0.65	65	35
13	0.65	65	35
14	0.65	65	35
15	0.65	65	35
16	0.65	65	35
17	0.65	65	35
18	0.65	65	35
19	0.65	65	35
20	0.64	64	36
21	0.64	64	36
22	0.63	63	37
23	0.63	63	37
24	0.63	63	37
25	0.63	63	37
26	0.63	63	37
27	0.63	63	37
28	0.63	63	37
29	0.63	63	37
30	0.62	62	38
31	0.62	62	38
32	0.62	62	38
33	0.62	62	38
34	0.61	61	39
35	0.61	61	39
36	0.61	61	39
37	0.61	61	39
38	0.61	61	39
39	0.61	61	39
40	0.61	61	39
41	0.61	61	39
42	0.61	61	39
43	0.60	60	40
44	0.60	60	40
45	0.59	59	41
46	0.58	58	42
47	0.58	58	42
48	0.58	58	42
49	0.57	57	43
50	0.57	57	43
51	0.57	57	43
52	0.57	57	43
53	0.57	57	43
54	0.56	56	44
55	0.55	55	45
56	0.55	55	45
57	0.54	54	46
58	0.53	53	47
59	0.53	53	47
60	0.53	53	47
61	0.52	52	48
62	0.51	51	49
63	0.50	50	50
64	0.50	50	50
65	0.49	49	51
66	0.49	49	51
67	0.48	48	52
68	0.48	48	52
69	0.47	47	53
70	0.48	48	52
71	0.49	49	51
72	0.50	50	50
73	0.51	51	49
74	0.52	52	48
75	0.53	53	47
76	0.53	53	47
77	0.54	54	46
78	0.55	55	45
79	0.56	56	44
80	0.57	57	43
81	0.58	58	42
82	0.59	59	41
83	0.60	60	40
84	0.61	61	39
85	0.61	61	39
86	0.62	62	38
87	0.62	62	38
88	0.63	63	37
89	0.64	64	36
90	0.65	65	35
91	0.66	66	34
92	0.67	67	33
93	0.68	68	32
94	0.69	69	31
95	0.69	69	31
96	0.69	69	31
97	0.70	70	30
98	0.70	70	30
99	0.71	71	29
100	0.72	72	28
101	0.73	73	27
102	0.73	73	27
103	0.73	73	27
104	0.73	73	27
105	0.72	72	28
106	0.73	73	27
107	0.72	72	28
108	0.72	72	28
109	0.72	72	28
110	0.72	72	28
111	0.72	72	28
112	0.71	71	29
113	0.71	71	29
114	0.71	71	29
115	0.71	71	29
116	0.71	71	29
117	0.71	71	29
118	0.71	71	29
119	0.71	71	29
120	0.71	71	29
121	0.71	71	29
122	0.71	71	29
123	0.71	71	29
124	0.71	71	29
125	0.70	70	30
126	0.70	70	30
127	0.70	70	30
128	0.70	70	30
129	0.70	70	30
