timestep	swarm_quality	color_0	color_1	color_2	color_3	color_4
0	0.70	70	5	8	10	7
1	0.70	70	5	8	10	7
2	0.70	70	5	8	10	7
3	0.69	69	5	8	11	7
4	0.68	68	6	8	11	7
5	0.68	68	6	8	11	7
6	0.68	68	6	8	11	7
7	0.68	68	6	8	11	7
8	0.68	68	6	8	11	7
9	0.67	67	6	8	11	8
10	0.67	67	6	8	11	8
11	0.67	67	6	8	11	8
12	0.67	67	6	8	11	8
13	0.67	67	6	8	11	8
14	0.67	67	6	8	11	8
15	0.67	67	6	8	11	8
16	0.67	67	6	8	11	8
17	0.67	67	6	8	11	8
18	0.66	66	7	8	11	8
19	0.66	66	7	8	11	8
20	0.66	66	7	8	11	8
21	0.66	66	7	8	11	8
22	0.65	65	7	8	11	9
23	0.65	65	7	8	11	9
24	0.65	65	7	8	11	9
25	0.65	65	7	8	11	9
26	0.65	65	7	8	11	9
27	0.65	65	7	8	11	9
28	0.65	65	7	8	11	9
29	0.65	65	7	8	11	9
30	0.65	65	7	8	11	9
31	0.65	65	7	8	11	9
32	0.65	65	7	8	11	9
33	0.65	65	7	8	11	9
34	0.65	65	7	8	11	9
35	0.65	65	7	8	11	9
36	0.65	65	7	8	11	9
37	0.65	65	7	8	11	9
38	0.65	65	7	8	11	9
39	0.65	65	7	8	11	9
40	0.65	65	7	8	11	9
41	0.65	65	7	8	11	9
42	0.65	65	7	8	11	9
43	0.65	65	7	8	11	9
44	0.65	65	7	8	11	9
45	0.65	65	7	8	11	9
46	0.65	65	7	8	11	9
47	0.65	65	7	8	11	9
48	0.64	64	7	8	12	9
49	0.63	63	7	9	12	9
50	0.63	63	7	9	12	9
51	0.63	63	7	9	12	9
52	0.63	63	7	9	12	9
53	0.63	63	7	9	12	9
54	0.62	62	8	9	12	9
55	0.62	62	8	9	12	9
56	0.62	62	8	9	12	9
57	0.62	62	8	9	12	9
58	0.62	62	8	9	12	9
59	0.62	62	8	9	12	9
60	0.62	62	8	9	12	9
61	0.62	62	8	9	12	9
62	0.62	62	8	9	12	9
63	0.62	62	8	9	12	9
64	0.62	62	8	9	12	9
65	0.62	62	8	9	12	9
66	0.62	62	8	9	12	9
67	0.62	62	8	9	12	9
68	0.62	62	8	9	12	9
69	0.62	62	8	9	12	9
70	0.63	63	8	8	12	9
71	0.63	63	9	8	11	9
72	0.64	64	8	8	11	9
73	0.65	65	8	8	11	8
74	0.65	65	7	8	12	8
75	0.65	65	7	7	12	9
76	0.66	66	7	7	11	9
77	0.67	67	7	7	11	8
78	0.67	67	8	7	11	7
79	0.68	68	7	7	11	7
80	0.69	69	7	7	10	7
81	0.70	70	7	7	9	7
82	0.71	71	7	7	8	7
83	0.72	72	7	7	8	6
84	0.73	73	7	7	8	5
85	0.74	74	7	6	8	5
86	0.75	75	6	6	8	5
87	0.76	76	6	5	8	5
88	0.77	77	6	4	8	5
89	0.78	78	6	4	7	5
90	0.79	79	6	4	6	5
91	0.80	80	6	3	6	5
92	0.81	81	6	3	5	5
93	0.82	82	6	3	4	5
94	0.83	83	6	3	3	5
95	0.84	84	5	3	3	5
96	0.85	85	5	2	3	5
97	0.86	86	5	1	3	5
98	0.87	87	5	1	3	4
99	0.88	88	5	1	3	3
100	0.88	88	5	1	3	3
101	0.88	88	5	1	3	3
102	0.88	88	5	1	3	3
103	0.88	88	6	1	2	3
104	0.89	89	5	1	2	3
105	0.89	89	5	1	2	3
106	0.89	89	5	1	2	3
107	0.89	89	5	1	2	3
108	0.89	89	5	1	2	3
109	0.90	90	5	1	2	2
110	0.90	90	5	1	2	2
111	0.90	90	5	1	2	2
112	0.90	90	5	1	2	2
113	0.90	90	5	1	2	2
114	0.90	90	5	1	2	2
115	0.90	90	5	1	2	2
116	0.90	90	5	1	2	2
117	0.90	90	5	1	2	2
118	0.91	91	4	1	2	2
119	0.90	90	5	1	2	2
120	0.90	90	5	1	2	2
121	0.90	90	5	1	2	2
122	0.91	91	5	1	2	1
123	0.91	91	5	1	2	1
124	0.91	91	5	1	2	1
125	0.90	90	6	1	2	1
126	0.90	90	6	1	2	1
127	0.90	90	6	1	2	1
128	0.90	90	6	1	2	1
129	0.90	90	6	1	2	1
130	0.90	90	6	1	2	1
131	0.90	90	6	1	2	1
132	0.90	90	6	1	2	1
133	0.90	90	6	1	2	1
134	0.90	90	6	1	2	1
135	0.90	90	6	1	2	1
136	0.90	90	6	1	2	1
137	0.90	90	6	1	2	1
138	0.90	90	6	1	2	1
139	0.90	90	6	1	2	1
140	0.90	90	6	1	2	1
141	0.90	90	6	1	2	1
142	0.90	90	6	1	2	1
143	0.90	90	6	1	2	1
144	0.89	89	6	1	2	2
145	0.89	89	6	1	2	2
146	0.89	89	6	1	2	2
147	0.89	89	6	1	2	2
148	0.90	90	6	1	1	2
149	0.91	91	6	0	1	2
150	0.91	91	6	0	1	2
151	0.91	91	6	0	1	2
152	0.91	91	6	0	1	2
153	0.91	91	6	0	1	2
154	0.92	92	5	0	1	2
155	0.92	92	5	0	1	2
156	0.92	92	5	0	1	2
157	0.92	92	5	0	1	2
158	0.92	92	5	0	1	2
159	0.92	92	5	0	1	2
160	0.92	92	5	0	1	2
161	0.92	92	5	0	1	2
162	0.92	92	5	0	1	2
163	0.92	92	5	0	1	2
164	0.92	92	5	0	1	2
165	0.92	92	5	0	1	2
166	0.92	92	5	0	1	2
167	0.92	92	5	0	1	2
168	0.91	91	5	0	1	3
169	0.91	91	5	0	1	3
170	0.91	91	5	0	1	3
171	0.92	92	4	0	1	3
172	0.91	91	5	0	1	3
173	0.91	91	5	0	1	3
174	0.92	92	5	0	0	3
175	0.93	93	5	0	0	2
176	0.93	93	5	0	0	2
177	0.93	93	5	0	0	2
178	0.94	94	4	0	0	2
179	0.94	94	4	0	0	2
180	0.94	94	4	0	0	2
181	0.94	94	4	0	0	2
182	0.94	94	4	0	0	2
183	0.94	94	4	0	0	2
184	0.94	94	4	0	0	2
185	0.94	94	4	0	0	2
186	0.94	94	4	0	0	2
187	0.94	94	4	0	0	2
188	0.94	94	4	0	0	2
189	0.94	94	4	0	0	2
190	0.94	94	4	0	0	2
191	0.94	94	4	0	0	2
192	0.94	94	4	0	0	2
193	0.94	94	4	0	0	2
194	0.94	94	4	0	0	2
195	0.94	94	4	0	0	2
196	0.94	94	4	0	0	2
197	0.94	94	4	0	0	2
198	0.94	94	4	0	0	2
199	0.94	94	4	0	0	2
200	0.94	94	4	0	0	2
201	0.94	94	4	0	0	2
202	0.94	94	4	0	0	2
203	0.95	95	3	0	0	2
204	0.95	95	3	0	0	2
205	0.95	95	3	0	0	2
206	0.95	95	3	0	0	2
207	0.95	95	3	0	0	2
208	0.95	95	3	0	0	2
209	0.95	95	3	0	0	2
210	0.95	95	3	0	0	2
211	0.95	95	3	0	0	2
212	0.95	95	3	0	0	2
213	0.95	95	3	0	0	2
214	0.95	95	3	0	0	2
215	0.95	95	3	0	0	2
216	0.95	95	3	0	0	2
217	0.95	95	3	0	0	2
218	0.95	95	3	0	0	2
219	0.96	96	2	0	0	2
220	0.96	96	2	0	0	2
221	0.96	96	2	0	0	2
222	0.96	96	2	0	0	2
223	0.96	96	2	0	0	2
224	0.96	96	2	0	0	2
225	0.97	97	1	0	0	2
226	0.97	97	1	0	0	2
227	0.97	97	1	0	0	2
228	0.97	97	1	0	0	2
229	0.97	97	1	0	0	2
230	0.97	97	1	0	0	2
231	0.97	97	1	0	0	2
232	0.97	97	1	0	0	2
233	0.97	97	1	0	0	2
234	0.97	97	1	0	0	2
235	0.97	97	1	0	0	2
236	0.97	97	1	0	0	2
237	0.97	97	1	0	0	2
238	0.97	97	1	0	0	2
239	0.97	97	1	0	0	2
240	0.97	97	1	0	0	2
241	0.97	97	1	0	0	2
242	0.97	97	1	0	0	2
243	0.97	97	1	0	0	2
244	0.98	98	1	0	0	1
245	0.98	98	1	0	0	1
246	0.98	98	1	0	0	1
247	0.98	98	1	0	0	1
248	0.98	98	1	0	0	1
249	0.97	97	1	0	0	2
250	0.97	97	1	0	0	2
251	0.97	97	1	0	0	2
252	0.97	97	1	0	0	2
253	0.97	97	1	0	0	2
254	0.97	97	1	0	0	2
255	0.97	97	1	0	0	2
256	0.97	97	1	0	0	2
257	0.97	97	1	0	0	2
258	0.97	97	1	0	0	2
259	0.97	97	1	0	0	2
260	0.97	97	1	0	0	2
261	0.97	97	1	0	0	2
262	0.97	97	1	0	0	2
263	0.97	97	1	0	0	2
264	0.97	97	1	0	0	2
265	0.97	97	1	0	0	2
266	0.97	97	1	0	0	2
267	0.97	97	1	0	0	2
268	0.98	98	1	0	0	1
269	0.98	98	1	0	0	1
270	0.98	98	1	0	0	1
271	0.97	97	1	1	0	1
272	0.98	98	0	1	0	1
273	0.98	98	0	1	0	1
274	0.98	98	0	1	0	1
275	0.98	98	0	1	0	1
276	0.98	98	0	1	0	1
277	0.98	98	0	1	0	1
278	0.98	98	0	1	0	1
