timestep	swarm_quality	color_0	color_1
0	0.68	34	16
1	0.68	34	16
2	0.68	34	16
3	0.68	34	16
4	0.68	34	16
5	0.68	34	16
6	0.68	34	16
7	0.66	33	17
8	0.66	33	17
9	0.66	33	17
10	0.66	33	17
11	0.66	33	17
12	0.66	33	17
13	0.66	33	17
14	0.64	32	18
15	0.62	31	19
16	0.62	31	19
17	0.62	31	19
18	0.62	31	19
19	0.62	31	19
20	0.62	31	19
21	0.62	31	19
22	0.62	31	19
23	0.62	31	19
24	0.60	30	20
25	0.58	29	21
26	0.58	29	21
27	0.58	29	21
28	0.56	28	22
29	0.56	28	22
30	0.56	28	22
31	0.56	28	22
32	0.56	28	22
33	0.56	28	22
34	0.56	28	22
35	0.58	29	21
36	0.60	30	20
37	0.62	31	19
38	0.62	31	19
39	0.64	32	18
40	0.66	33	17
41	0.68	34	16
42	0.70	35	15
43	0.72	36	14
44	0.74	37	13
45	0.76	38	12
46	0.78	39	11
47	0.80	40	10
48	0.82	41	9
49	0.84	42	8
50	0.86	43	7
51	0.84	42	8
52	0.84	42	8
53	0.84	42	8
54	0.84	42	8
55	0.84	42	8
56	0.82	41	9
57	0.84	42	8
58	0.84	42	8
59	0.84	42	8
60	0.84	42	8
61	0.84	42	8
62	0.84	42	8
63	0.84	42	8
64	0.86	43	7
65	0.86	43	7
66	0.86	43	7
67	0.86	43	7
68	0.86	43	7
69	0.86	43	7
70	0.86	43	7
71	0.86	43	7
72	0.86	43	7
73	0.86	43	7
74	0.88	44	6
75	0.90	45	5
76	0.90	45	5
77	0.88	44	6
78	0.90	45	5
79	0.90	45	5
80	0.88	44	6
81	0.88	44	6
82	0.88	44	6
83	0.88	44	6
84	0.88	44	6
85	0.86	43	7
86	0.86	43	7
87	0.84	42	8
88	0.86	43	7
89	0.86	43	7
90	0.86	43	7
91	0.84	42	8
92	0.82	41	9
93	0.80	40	10
94	0.80	40	10
95	0.80	40	10
96	0.80	40	10
97	0.80	40	10
98	0.80	40	10
99	0.78	39	11
100	0.78	39	11
101	0.80	40	10
102	0.80	40	10
103	0.78	39	11
104	0.76	38	12
105	0.76	38	12
106	0.78	39	11
107	0.78	39	11
108	0.78	39	11
109	0.78	39	11
110	0.78	39	11
111	0.78	39	11
112	0.78	39	11
113	0.78	39	11
114	0.78	39	11
115	0.80	40	10
116	0.80	40	10
117	0.80	40	10
118	0.80	40	10
119	0.80	40	10
120	0.80	40	10
121	0.80	40	10
122	0.80	40	10
123	0.80	40	10
124	0.80	40	10
125	0.80	40	10
126	0.80	40	10
127	0.82	41	9
128	0.82	41	9
129	0.80	40	10
130	0.82	41	9
131	0.82	41	9
132	0.82	41	9
133	0.82	41	9
134	0.82	41	9
135	0.84	42	8
136	0.84	42	8
137	0.86	43	7
138	0.86	43	7
139	0.86	43	7
140	0.86	43	7
141	0.86	43	7
142	0.86	43	7
143	0.88	44	6
144	0.88	44	6
145	0.88	44	6
146	0.88	44	6
147	0.88	44	6
148	0.88	44	6
149	0.90	45	5
150	0.90	45	5
151	0.90	45	5
152	0.88	44	6
153	0.90	45	5
154	0.92	46	4
155	0.92	46	4
156	0.92	46	4
157	0.92	46	4
158	0.92	46	4
159	0.92	46	4
160	0.92	46	4
161	0.92	46	4
162	0.90	45	5
163	0.90	45	5
164	0.90	45	5
165	0.90	45	5
166	0.90	45	5
167	0.90	45	5
168	0.90	45	5
169	0.90	45	5
170	0.90	45	5
171	0.90	45	5
172	0.88	44	6
173	0.88	44	6
174	0.88	44	6
175	0.88	44	6
176	0.88	44	6
177	0.88	44	6
178	0.88	44	6
179	0.90	45	5
180	0.88	44	6
181	0.88	44	6
182	0.88	44	6
183	0.88	44	6
184	0.86	43	7
185	0.86	43	7
186	0.84	42	8
187	0.84	42	8
188	0.84	42	8
189	0.84	42	8
190	0.84	42	8
191	0.86	43	7
192	0.88	44	6
193	0.88	44	6
194	0.86	43	7
195	0.86	43	7
196	0.86	43	7
197	0.86	43	7
198	0.86	43	7
199	0.84	42	8
200	0.84	42	8
201	0.84	42	8
202	0.84	42	8
203	0.84	42	8
204	0.84	42	8
205	0.84	42	8
206	0.84	42	8
207	0.84	42	8
208	0.84	42	8
209	0.84	42	8
210	0.82	41	9
211	0.82	41	9
212	0.84	42	8
213	0.84	42	8
214	0.84	42	8
215	0.84	42	8
216	0.84	42	8
217	0.84	42	8
218	0.84	42	8
219	0.84	42	8
220	0.84	42	8
221	0.84	42	8
222	0.86	43	7
223	0.86	43	7
224	0.86	43	7
225	0.84	42	8
226	0.84	42	8
227	0.82	41	9
228	0.82	41	9
229	0.82	41	9
230	0.84	42	8
231	0.84	42	8
232	0.84	42	8
233	0.84	42	8
234	0.84	42	8
235	0.82	41	9
236	0.82	41	9
237	0.82	41	9
238	0.82	41	9
239	0.80	40	10
240	0.80	40	10
241	0.80	40	10
242	0.80	40	10
243	0.80	40	10
244	0.82	41	9
245	0.82	41	9
246	0.82	41	9
247	0.82	41	9
248	0.82	41	9
249	0.84	42	8
250	0.84	42	8
251	0.84	42	8
252	0.86	43	7
253	0.86	43	7
254	0.86	43	7
255	0.86	43	7
256	0.86	43	7
257	0.86	43	7
258	0.84	42	8
259	0.82	41	9
260	0.84	42	8
261	0.84	42	8
262	0.84	42	8
263	0.84	42	8
264	0.84	42	8
265	0.84	42	8
266	0.84	42	8
267	0.84	42	8
268	0.82	41	9
269	0.82	41	9
270	0.82	41	9
271	0.82	41	9
272	0.82	41	9
273	0.82	41	9
274	0.82	41	9
275	0.84	42	8
276	0.82	41	9
277	0.84	42	8
278	0.84	42	8
279	0.84	42	8
280	0.84	42	8
281	0.84	42	8
282	0.82	41	9
283	0.82	41	9
284	0.84	42	8
285	0.86	43	7
286	0.88	44	6
287	0.86	43	7
288	0.86	43	7
289	0.88	44	6
290	0.88	44	6
291	0.88	44	6
292	0.86	43	7
293	0.86	43	7
294	0.86	43	7
295	0.84	42	8
296	0.84	42	8
297	0.84	42	8
298	0.82	41	9
299	0.82	41	9
300	0.80	40	10
301	0.80	40	10
302	0.78	39	11
303	0.76	38	12
304	0.76	38	12
305	0.76	38	12
306	0.76	38	12
307	0.76	38	12
308	0.78	39	11
309	0.80	40	10
310	0.80	40	10
311	0.80	40	10
312	0.80	40	10
313	0.78	39	11
314	0.78	39	11
315	0.78	39	11
316	0.76	38	12
317	0.76	38	12
318	0.78	39	11
319	0.78	39	11
320	0.78	39	11
321	0.78	39	11
322	0.78	39	11
323	0.78	39	11
324	0.78	39	11
325	0.76	38	12
326	0.78	39	11
327	0.78	39	11
328	0.78	39	11
