timestep	swarm_quality	color_0	color_1
0	0.70	35	15
1	0.70	35	15
2	0.70	35	15
3	0.70	35	15
4	0.70	35	15
5	0.70	35	15
6	0.68	34	16
7	0.68	34	16
8	0.66	33	17
9	0.66	33	17
10	0.64	32	18
11	0.62	31	19
12	0.62	31	19
13	0.62	31	19
14	0.62	31	19
15	0.62	31	19
16	0.62	31	19
17	0.62	31	19
18	0.62	31	19
19	0.62	31	19
20	0.62	31	19
21	0.62	31	19
22	0.62	31	19
23	0.60	30	20
24	0.60	30	20
25	0.58	29	21
26	0.58	29	21
27	0.56	28	22
28	0.56	28	22
29	0.54	27	23
30	0.54	27	23
31	0.52	26	24
32	0.52	26	24
33	0.52	26	24
34	0.52	26	24
35	0.54	27	23
36	0.56	28	22
37	0.58	29	21
38	0.60	30	20
39	0.60	30	20
40	0.62	31	19
41	0.64	32	18
42	0.66	33	17
43	0.68	34	16
44	0.68	34	16
45	0.70	35	15
46	0.72	36	14
47	0.74	37	13
48	0.76	38	12
49	0.78	39	11
50	0.78	39	11
51	0.78	39	11
52	0.78	39	11
53	0.78	39	11
54	0.78	39	11
55	0.78	39	11
56	0.80	40	10
57	0.78	39	11
58	0.80	40	10
59	0.78	39	11
60	0.80	40	10
61	0.80	40	10
62	0.78	39	11
63	0.78	39	11
64	0.78	39	11
65	0.78	39	11
66	0.78	39	11
67	0.78	39	11
68	0.78	39	11
69	0.76	38	12
70	0.76	38	12
71	0.76	38	12
72	0.76	38	12
73	0.76	38	12
74	0.76	38	12
75	0.78	39	11
76	0.78	39	11
77	0.80	40	10
78	0.80	40	10
79	0.82	41	9
80	0.80	40	10
81	0.82	41	9
82	0.82	41	9
83	0.82	41	9
84	0.82	41	9
85	0.82	41	9
86	0.80	40	10
87	0.80	40	10
88	0.78	39	11
89	0.80	40	10
90	0.78	39	11
91	0.78	39	11
92	0.76	38	12
93	0.74	37	13
94	0.74	37	13
95	0.74	37	13
96	0.74	37	13
97	0.74	37	13
98	0.74	37	13
99	0.74	37	13
100	0.74	37	13
101	0.74	37	13
102	0.74	37	13
103	0.72	36	14
104	0.72	36	14
105	0.72	36	14
106	0.72	36	14
107	0.74	37	13
108	0.74	37	13
109	0.76	38	12
110	0.76	38	12
111	0.78	39	11
112	0.80	40	10
113	0.78	39	11
114	0.78	39	11
115	0.78	39	11
116	0.76	38	12
117	0.76	38	12
118	0.76	38	12
119	0.78	39	11
120	0.78	39	11
121	0.78	39	11
122	0.78	39	11
123	0.78	39	11
124	0.76	38	12
125	0.76	38	12
126	0.76	38	12
127	0.76	38	12
128	0.74	37	13
129	0.74	37	13
130	0.76	38	12
131	0.76	38	12
132	0.76	38	12
133	0.76	38	12
134	0.74	37	13
135	0.74	37	13
136	0.76	38	12
137	0.76	38	12
138	0.78	39	11
139	0.78	39	11
140	0.80	40	10
141	0.80	40	10
142	0.82	41	9
143	0.84	42	8
144	0.86	43	7
145	0.84	42	8
146	0.82	41	9
147	0.82	41	9
148	0.82	41	9
149	0.82	41	9
150	0.80	40	10
151	0.80	40	10
152	0.80	40	10
153	0.82	41	9
154	0.82	41	9
155	0.82	41	9
156	0.82	41	9
157	0.82	41	9
158	0.82	41	9
159	0.80	40	10
160	0.80	40	10
161	0.80	40	10
162	0.80	40	10
163	0.82	41	9
164	0.80	40	10
165	0.78	39	11
166	0.80	40	10
167	0.80	40	10
168	0.80	40	10
169	0.78	39	11
170	0.78	39	11
171	0.78	39	11
172	0.76	38	12
173	0.78	39	11
174	0.80	40	10
175	0.80	40	10
176	0.80	40	10
177	0.80	40	10
178	0.80	40	10
179	0.80	40	10
180	0.80	40	10
181	0.78	39	11
182	0.78	39	11
183	0.78	39	11
184	0.80	40	10
185	0.78	39	11
186	0.78	39	11
187	0.78	39	11
188	0.78	39	11
189	0.78	39	11
190	0.78	39	11
191	0.78	39	11
192	0.78	39	11
193	0.78	39	11
194	0.78	39	11
195	0.80	40	10
196	0.82	41	9
197	0.82	41	9
198	0.80	40	10
199	0.80	40	10
200	0.82	41	9
201	0.80	40	10
202	0.80	40	10
203	0.78	39	11
204	0.76	38	12
205	0.76	38	12
206	0.76	38	12
207	0.74	37	13
208	0.74	37	13
209	0.76	38	12
210	0.76	38	12
211	0.74	37	13
212	0.74	37	13
213	0.74	37	13
214	0.74	37	13
215	0.76	38	12
216	0.76	38	12
217	0.76	38	12
218	0.74	37	13
219	0.76	38	12
220	0.74	37	13
221	0.74	37	13
222	0.76	38	12
223	0.76	38	12
224	0.76	38	12
225	0.76	38	12
226	0.76	38	12
227	0.74	37	13
