timestep	swarm_quality	color_0	color_1
0	0.70	35	15
1	0.70	35	15
2	0.70	35	15
3	0.68	34	16
4	0.68	34	16
5	0.68	34	16
6	0.68	34	16
7	0.66	33	17
8	0.64	32	18
9	0.64	32	18
10	0.64	32	18
11	0.64	32	18
12	0.64	32	18
13	0.64	32	18
14	0.64	32	18
15	0.62	31	19
16	0.62	31	19
17	0.62	31	19
18	0.60	30	20
19	0.60	30	20
20	0.58	29	21
21	0.58	29	21
22	0.58	29	21
23	0.58	29	21
24	0.58	29	21
25	0.58	29	21
26	0.58	29	21
27	0.58	29	21
28	0.58	29	21
29	0.58	29	21
30	0.58	29	21
31	0.58	29	21
32	0.56	28	22
33	0.56	28	22
34	0.56	28	22
35	0.56	28	22
36	0.58	29	21
37	0.58	29	21
38	0.58	29	21
39	0.60	30	20
40	0.62	31	19
41	0.64	32	18
42	0.66	33	17
43	0.68	34	16
44	0.70	35	15
45	0.72	36	14
46	0.74	37	13
47	0.76	38	12
48	0.76	38	12
49	0.78	39	11
50	0.78	39	11
51	0.78	39	11
52	0.78	39	11
53	0.80	40	10
54	0.78	39	11
55	0.78	39	11
56	0.78	39	11
57	0.80	40	10
58	0.80	40	10
59	0.78	39	11
60	0.78	39	11
61	0.78	39	11
62	0.78	39	11
63	0.78	39	11
64	0.78	39	11
65	0.78	39	11
66	0.76	38	12
67	0.76	38	12
68	0.78	39	11
69	0.78	39	11
70	0.80	40	10
71	0.80	40	10
72	0.80	40	10
73	0.80	40	10
74	0.80	40	10
75	0.78	39	11
76	0.78	39	11
77	0.76	38	12
78	0.76	38	12
79	0.76	38	12
80	0.76	38	12
81	0.76	38	12
82	0.78	39	11
83	0.76	38	12
84	0.74	37	13
85	0.76	38	12
86	0.76	38	12
87	0.78	39	11
88	0.78	39	11
89	0.76	38	12
90	0.76	38	12
91	0.74	37	13
92	0.72	36	14
93	0.72	36	14
94	0.72	36	14
95	0.72	36	14
96	0.72	36	14
97	0.72	36	14
98	0.74	37	13
99	0.74	37	13
100	0.74	37	13
101	0.74	37	13
102	0.74	37	13
103	0.74	37	13
104	0.76	38	12
105	0.74	37	13
106	0.74	37	13
107	0.74	37	13
108	0.74	37	13
109	0.74	37	13
110	0.74	37	13
111	0.74	37	13
112	0.74	37	13
113	0.74	37	13
114	0.74	37	13
115	0.74	37	13
116	0.76	38	12
117	0.76	38	12
118	0.76	38	12
119	0.74	37	13
120	0.74	37	13
121	0.74	37	13
122	0.74	37	13
123	0.74	37	13
124	0.74	37	13
125	0.76	38	12
126	0.74	37	13
127	0.76	38	12
128	0.74	37	13
129	0.74	37	13
130	0.72	36	14
131	0.72	36	14
132	0.72	36	14
133	0.74	37	13
134	0.74	37	13
135	0.74	37	13
136	0.74	37	13
137	0.74	37	13
138	0.76	38	12
139	0.76	38	12
140	0.76	38	12
141	0.78	39	11
142	0.80	40	10
143	0.80	40	10
144	0.80	40	10
145	0.80	40	10
146	0.78	39	11
147	0.78	39	11
148	0.78	39	11
149	0.78	39	11
150	0.78	39	11
151	0.76	38	12
152	0.76	38	12
153	0.74	37	13
154	0.74	37	13
155	0.76	38	12
156	0.76	38	12
157	0.76	38	12
158	0.78	39	11
159	0.80	40	10
160	0.80	40	10
161	0.78	39	11
162	0.78	39	11
163	0.76	38	12
164	0.76	38	12
165	0.78	39	11
166	0.78	39	11
167	0.76	38	12
168	0.76	38	12
169	0.78	39	11
170	0.78	39	11
171	0.78	39	11
172	0.78	39	11
173	0.76	38	12
174	0.76	38	12
175	0.76	38	12
176	0.78	39	11
177	0.78	39	11
178	0.80	40	10
179	0.80	40	10
180	0.82	41	9
181	0.82	41	9
182	0.80	40	10
183	0.80	40	10
184	0.82	41	9
185	0.82	41	9
186	0.80	40	10
187	0.80	40	10
188	0.80	40	10
189	0.80	40	10
190	0.80	40	10
191	0.80	40	10
192	0.80	40	10
193	0.78	39	11
194	0.78	39	11
195	0.78	39	11
196	0.80	40	10
197	0.80	40	10
198	0.80	40	10
199	0.80	40	10
200	0.80	40	10
201	0.82	41	9
202	0.82	41	9
203	0.84	42	8
204	0.84	42	8
205	0.84	42	8
206	0.82	41	9
207	0.82	41	9
208	0.82	41	9
209	0.82	41	9
210	0.82	41	9
211	0.84	42	8
212	0.84	42	8
213	0.86	43	7
214	0.86	43	7
215	0.86	43	7
216	0.86	43	7
217	0.88	44	6
218	0.88	44	6
219	0.88	44	6
220	0.88	44	6
221	0.88	44	6
222	0.86	43	7
223	0.88	44	6
224	0.88	44	6
225	0.88	44	6
226	0.88	44	6
227	0.88	44	6
