timestep	swarm_quality	color_0	color_1
0	0.70	35	15
1	0.70	35	15
2	0.68	34	16
3	0.68	34	16
4	0.68	34	16
5	0.68	34	16
6	0.68	34	16
7	0.68	34	16
8	0.68	34	16
9	0.68	34	16
10	0.68	34	16
11	0.66	33	17
12	0.64	32	18
13	0.62	31	19
14	0.62	31	19
15	0.62	31	19
16	0.62	31	19
17	0.62	31	19
18	0.62	31	19
19	0.62	31	19
20	0.62	31	19
21	0.62	31	19
22	0.60	30	20
23	0.60	30	20
24	0.60	30	20
25	0.60	30	20
26	0.60	30	20
27	0.60	30	20
28	0.60	30	20
29	0.60	30	20
30	0.60	30	20
31	0.60	30	20
32	0.60	30	20
33	0.60	30	20
34	0.60	30	20
35	0.62	31	19
36	0.64	32	18
37	0.64	32	18
38	0.66	33	17
39	0.68	34	16
40	0.70	35	15
41	0.72	36	14
42	0.72	36	14
43	0.74	37	13
44	0.76	38	12
45	0.78	39	11
46	0.80	40	10
47	0.82	41	9
48	0.84	42	8
49	0.86	43	7
50	0.86	43	7
51	0.84	42	8
52	0.86	43	7
53	0.86	43	7
54	0.86	43	7
55	0.86	43	7
56	0.86	43	7
57	0.84	42	8
58	0.84	42	8
59	0.84	42	8
60	0.82	41	9
61	0.82	41	9
62	0.82	41	9
63	0.84	42	8
64	0.84	42	8
65	0.84	42	8
66	0.82	41	9
67	0.82	41	9
68	0.82	41	9
69	0.82	41	9
70	0.82	41	9
71	0.82	41	9
72	0.82	41	9
73	0.82	41	9
74	0.80	40	10
75	0.78	39	11
76	0.78	39	11
77	0.78	39	11
78	0.78	39	11
79	0.76	38	12
80	0.76	38	12
81	0.74	37	13
82	0.74	37	13
83	0.74	37	13
84	0.74	37	13
85	0.72	36	14
86	0.70	35	15
87	0.72	36	14
88	0.72	36	14
89	0.72	36	14
90	0.72	36	14
91	0.72	36	14
92	0.74	37	13
93	0.74	37	13
94	0.72	36	14
95	0.72	36	14
96	0.70	35	15
97	0.70	35	15
98	0.70	35	15
99	0.70	35	15
100	0.70	35	15
101	0.72	36	14
102	0.72	36	14
103	0.72	36	14
104	0.72	36	14
105	0.70	35	15
106	0.68	34	16
107	0.70	35	15
108	0.70	35	15
109	0.68	34	16
110	0.70	35	15
111	0.72	36	14
112	0.74	37	13
113	0.74	37	13
114	0.74	37	13
115	0.72	36	14
116	0.74	37	13
117	0.74	37	13
118	0.74	37	13
119	0.74	37	13
120	0.72	36	14
121	0.72	36	14
122	0.74	37	13
123	0.74	37	13
124	0.74	37	13
125	0.76	38	12
126	0.76	38	12
127	0.76	38	12
128	0.74	37	13
129	0.76	38	12
130	0.76	38	12
131	0.78	39	11
132	0.78	39	11
133	0.78	39	11
134	0.78	39	11
135	0.80	40	10
136	0.82	41	9
137	0.82	41	9
138	0.80	40	10
139	0.80	40	10
140	0.80	40	10
141	0.80	40	10
142	0.80	40	10
143	0.80	40	10
144	0.80	40	10
145	0.80	40	10
146	0.80	40	10
147	0.80	40	10
148	0.80	40	10
149	0.80	40	10
150	0.78	39	11
151	0.78	39	11
152	0.78	39	11
153	0.78	39	11
154	0.76	38	12
155	0.78	39	11
156	0.78	39	11
157	0.78	39	11
158	0.76	38	12
159	0.78	39	11
160	0.78	39	11
161	0.78	39	11
162	0.78	39	11
163	0.78	39	11
164	0.78	39	11
165	0.78	39	11
166	0.76	38	12
167	0.76	38	12
168	0.74	37	13
169	0.74	37	13
170	0.74	37	13
171	0.74	37	13
172	0.72	36	14
173	0.72	36	14
174	0.72	36	14
175	0.72	36	14
176	0.72	36	14
177	0.72	36	14
178	0.74	37	13
179	0.74	37	13
180	0.74	37	13
181	0.72	36	14
182	0.72	36	14
183	0.72	36	14
184	0.72	36	14
185	0.70	35	15
186	0.70	35	15
187	0.70	35	15
188	0.72	36	14
189	0.72	36	14
190	0.72	36	14
191	0.72	36	14
192	0.72	36	14
193	0.72	36	14
194	0.74	37	13
195	0.72	36	14
196	0.74	37	13
197	0.74	37	13
198	0.74	37	13
199	0.74	37	13
200	0.76	38	12
201	0.76	38	12
202	0.76	38	12
203	0.76	38	12
204	0.78	39	11
205	0.78	39	11
206	0.80	40	10
207	0.78	39	11
208	0.80	40	10
209	0.80	40	10
210	0.80	40	10
211	0.80	40	10
212	0.80	40	10
213	0.80	40	10
214	0.78	39	11
215	0.80	40	10
216	0.82	41	9
217	0.82	41	9
218	0.84	42	8
219	0.82	41	9
220	0.84	42	8
221	0.84	42	8
222	0.86	43	7
223	0.86	43	7
224	0.88	44	6
225	0.88	44	6
226	0.88	44	6
227	0.88	44	6
