timestep	swarm_quality	color_0	color_1
0	0.70	70	30
1	0.70	70	30
2	0.70	70	30
3	0.70	70	30
4	0.70	70	30
5	0.70	70	30
6	0.70	70	30
7	0.69	69	31
8	0.69	69	31
9	0.69	69	31
10	0.69	69	31
11	0.69	69	31
12	0.68	68	32
13	0.68	68	32
14	0.68	68	32
15	0.68	68	32
16	0.68	68	32
17	0.68	68	32
18	0.68	68	32
19	0.68	68	32
20	0.68	68	32
21	0.68	68	32
22	0.67	67	33
23	0.66	66	34
24	0.66	66	34
25	0.66	66	34
26	0.65	65	35
27	0.65	65	35
28	0.65	65	35
29	0.65	65	35
30	0.65	65	35
31	0.64	64	36
32	0.64	64	36
33	0.64	64	36
34	0.64	64	36
35	0.64	64	36
36	0.64	64	36
37	0.64	64	36
38	0.64	64	36
39	0.64	64	36
40	0.64	64	36
41	0.63	63	37
42	0.63	63	37
43	0.63	63	37
44	0.63	63	37
45	0.63	63	37
46	0.63	63	37
47	0.63	63	37
48	0.63	63	37
49	0.63	63	37
50	0.62	62	38
51	0.62	62	38
52	0.62	62	38
53	0.62	62	38
54	0.62	62	38
55	0.61	61	39
56	0.61	61	39
57	0.61	61	39
58	0.61	61	39
59	0.60	60	40
60	0.59	59	41
61	0.58	58	42
62	0.58	58	42
63	0.58	58	42
64	0.58	58	42
65	0.58	58	42
66	0.58	58	42
67	0.58	58	42
68	0.58	58	42
69	0.58	58	42
70	0.59	59	41
71	0.59	59	41
72	0.60	60	40
73	0.61	61	39
74	0.62	62	38
75	0.63	63	37
76	0.64	64	36
77	0.65	65	35
78	0.66	66	34
79	0.67	67	33
80	0.67	67	33
81	0.68	68	32
82	0.68	68	32
83	0.69	69	31
84	0.70	70	30
85	0.71	71	29
86	0.72	72	28
87	0.73	73	27
88	0.73	73	27
89	0.74	74	26
90	0.75	75	25
91	0.75	75	25
92	0.76	76	24
93	0.77	77	23
94	0.78	78	22
95	0.79	79	21
96	0.80	80	20
97	0.81	81	19
98	0.82	82	18
99	0.83	83	17
100	0.83	83	17
101	0.83	83	17
102	0.83	83	17
103	0.83	83	17
104	0.83	83	17
105	0.83	83	17
106	0.83	83	17
107	0.84	84	16
108	0.84	84	16
109	0.84	84	16
110	0.84	84	16
111	0.84	84	16
112	0.85	85	15
113	0.85	85	15
114	0.85	85	15
115	0.85	85	15
116	0.85	85	15
117	0.85	85	15
118	0.85	85	15
119	0.84	84	16
120	0.84	84	16
121	0.84	84	16
122	0.85	85	15
123	0.86	86	14
124	0.86	86	14
125	0.86	86	14
126	0.87	87	13
127	0.87	87	13
128	0.87	87	13
129	0.87	87	13
130	0.86	86	14
131	0.87	87	13
132	0.87	87	13
133	0.86	86	14
134	0.86	86	14
135	0.86	86	14
136	0.86	86	14
137	0.86	86	14
138	0.86	86	14
139	0.86	86	14
140	0.86	86	14
141	0.87	87	13
142	0.87	87	13
143	0.87	87	13
144	0.87	87	13
145	0.87	87	13
146	0.87	87	13
147	0.87	87	13
148	0.87	87	13
149	0.87	87	13
150	0.88	88	12
151	0.88	88	12
152	0.87	87	13
153	0.87	87	13
154	0.87	87	13
155	0.88	88	12
156	0.88	88	12
157	0.88	88	12
158	0.88	88	12
159	0.89	89	11
160	0.90	90	10
161	0.91	91	9
162	0.91	91	9
163	0.91	91	9
164	0.91	91	9
165	0.91	91	9
166	0.91	91	9
167	0.91	91	9
168	0.91	91	9
169	0.91	91	9
170	0.91	91	9
171	0.92	92	8
172	0.92	92	8
173	0.91	91	9
174	0.91	91	9
175	0.91	91	9
176	0.91	91	9
177	0.91	91	9
178	0.91	91	9
179	0.91	91	9
180	0.92	92	8
181	0.92	92	8
182	0.93	93	7
183	0.93	93	7
184	0.93	93	7
185	0.93	93	7
186	0.93	93	7
187	0.93	93	7
188	0.94	94	6
189	0.94	94	6
190	0.94	94	6
191	0.95	95	5
192	0.94	94	6
193	0.94	94	6
194	0.94	94	6
195	0.93	93	7
196	0.93	93	7
197	0.93	93	7
198	0.93	93	7
199	0.93	93	7
200	0.93	93	7
201	0.92	92	8
202	0.92	92	8
203	0.91	91	9
204	0.91	91	9
205	0.90	90	10
206	0.90	90	10
207	0.90	90	10
208	0.90	90	10
209	0.90	90	10
210	0.90	90	10
211	0.90	90	10
212	0.90	90	10
213	0.90	90	10
214	0.90	90	10
215	0.90	90	10
216	0.90	90	10
217	0.90	90	10
218	0.90	90	10
219	0.91	91	9
220	0.90	90	10
221	0.90	90	10
222	0.90	90	10
223	0.90	90	10
224	0.90	90	10
225	0.90	90	10
226	0.90	90	10
227	0.90	90	10
228	0.90	90	10
229	0.89	89	11
230	0.90	90	10
231	0.90	90	10
232	0.90	90	10
233	0.91	91	9
234	0.91	91	9
235	0.91	91	9
236	0.91	91	9
237	0.91	91	9
238	0.91	91	9
239	0.91	91	9
240	0.91	91	9
241	0.91	91	9
242	0.91	91	9
243	0.91	91	9
244	0.91	91	9
245	0.91	91	9
246	0.91	91	9
247	0.91	91	9
248	0.91	91	9
249	0.91	91	9
250	0.91	91	9
251	0.91	91	9
252	0.92	92	8
253	0.92	92	8
254	0.92	92	8
255	0.92	92	8
256	0.92	92	8
257	0.92	92	8
258	0.92	92	8
259	0.92	92	8
260	0.92	92	8
261	0.92	92	8
262	0.92	92	8
263	0.92	92	8
264	0.92	92	8
265	0.91	91	9
266	0.90	90	10
267	0.90	90	10
268	0.90	90	10
269	0.90	90	10
270	0.90	90	10
271	0.90	90	10
272	0.90	90	10
273	0.91	91	9
274	0.91	91	9
275	0.90	90	10
276	0.90	90	10
277	0.90	90	10
278	0.90	90	10
279	0.90	90	10
280	0.90	90	10
281	0.90	90	10
282	0.90	90	10
283	0.90	90	10
284	0.90	90	10
285	0.90	90	10
286	0.90	90	10
287	0.90	90	10
288	0.90	90	10
289	0.90	90	10
290	0.90	90	10
291	0.89	89	11
292	0.90	90	10
293	0.90	90	10
294	0.89	89	11
295	0.90	90	10
296	0.90	90	10
297	0.90	90	10
298	0.90	90	10
299	0.90	90	10
300	0.90	90	10
301	0.91	91	9
302	0.91	91	9
303	0.92	92	8
304	0.92	92	8
305	0.93	93	7
306	0.93	93	7
307	0.93	93	7
308	0.93	93	7
309	0.93	93	7
310	0.93	93	7
311	0.93	93	7
312	0.92	92	8
313	0.92	92	8
314	0.92	92	8
315	0.91	91	9
316	0.90	90	10
317	0.90	90	10
318	0.90	90	10
319	0.90	90	10
320	0.91	91	9
321	0.91	91	9
322	0.91	91	9
323	0.91	91	9
324	0.91	91	9
325	0.91	91	9
326	0.91	91	9
327	0.91	91	9
328	0.91	91	9
329	0.92	92	8
330	0.92	92	8
331	0.92	92	8
332	0.91	91	9
333	0.91	91	9
334	0.91	91	9
335	0.91	91	9
336	0.91	91	9
337	0.91	91	9
338	0.91	91	9
339	0.91	91	9
340	0.91	91	9
341	0.91	91	9
342	0.91	91	9
343	0.91	91	9
344	0.91	91	9
345	0.91	91	9
346	0.91	91	9
347	0.91	91	9
348	0.91	91	9
349	0.91	91	9
350	0.91	91	9
351	0.91	91	9
352	0.91	91	9
353	0.91	91	9
354	0.91	91	9
355	0.90	90	10
356	0.90	90	10
357	0.90	90	10
358	0.90	90	10
359	0.90	90	10
360	0.89	89	11
361	0.89	89	11
362	0.89	89	11
363	0.89	89	11
364	0.89	89	11
365	0.90	90	10
366	0.91	91	9
367	0.91	91	9
368	0.91	91	9
369	0.91	91	9
370	0.91	91	9
371	0.91	91	9
372	0.90	90	10
373	0.90	90	10
374	0.90	90	10
375	0.91	91	9
376	0.91	91	9
377	0.91	91	9
378	0.91	91	9
379	0.91	91	9
380	0.91	91	9
381	0.91	91	9
382	0.91	91	9
383	0.91	91	9
384	0.91	91	9
385	0.90	90	10
386	0.89	89	11
387	0.89	89	11
388	0.88	88	12
389	0.88	88	12
390	0.88	88	12
391	0.89	89	11
392	0.89	89	11
393	0.89	89	11
394	0.90	90	10
395	0.90	90	10
396	0.90	90	10
397	0.90	90	10
398	0.90	90	10
399	0.90	90	10
400	0.90	90	10
401	0.90	90	10
402	0.90	90	10
403	0.90	90	10
404	0.90	90	10
405	0.90	90	10
406	0.90	90	10
407	0.90	90	10
408	0.90	90	10
409	0.90	90	10
410	0.90	90	10
411	0.90	90	10
412	0.91	91	9
413	0.91	91	9
414	0.91	91	9
415	0.92	92	8
416	0.93	93	7
417	0.93	93	7
418	0.93	93	7
419	0.93	93	7
420	0.93	93	7
421	0.93	93	7
422	0.93	93	7
423	0.92	92	8
424	0.91	91	9
425	0.90	90	10
426	0.90	90	10
427	0.89	89	11
428	0.89	89	11
429	0.89	89	11
430	0.89	89	11
431	0.89	89	11
432	0.90	90	10
433	0.90	90	10
434	0.90	90	10
435	0.89	89	11
436	0.88	88	12
437	0.88	88	12
438	0.88	88	12
439	0.88	88	12
440	0.88	88	12
441	0.88	88	12
442	0.88	88	12
443	0.88	88	12
444	0.88	88	12
445	0.88	88	12
446	0.88	88	12
447	0.88	88	12
448	0.88	88	12
449	0.88	88	12
450	0.88	88	12
451	0.88	88	12
452	0.88	88	12
453	0.88	88	12
454	0.88	88	12
455	0.89	89	11
456	0.89	89	11
457	0.89	89	11
458	0.89	89	11
459	0.89	89	11
460	0.90	90	10
461	0.90	90	10
462	0.90	90	10
463	0.90	90	10
464	0.90	90	10
465	0.90	90	10
466	0.90	90	10
467	0.90	90	10
468	0.89	89	11
469	0.89	89	11
470	0.89	89	11
471	0.89	89	11
472	0.90	90	10
473	0.90	90	10
474	0.90	90	10
475	0.90	90	10
476	0.90	90	10
477	0.90	90	10
478	0.90	90	10
479	0.90	90	10
480	0.90	90	10
481	0.90	90	10
482	0.89	89	11
483	0.89	89	11
484	0.89	89	11
485	0.90	90	10
486	0.91	91	9
487	0.91	91	9
488	0.91	91	9
489	0.91	91	9
490	0.91	91	9
491	0.91	91	9
492	0.91	91	9
493	0.91	91	9
494	0.91	91	9
495	0.91	91	9
496	0.91	91	9
497	0.91	91	9
498	0.91	91	9
499	0.91	91	9
500	0.91	91	9
501	0.91	91	9
502	0.91	91	9
503	0.91	91	9
504	0.90	90	10
505	0.90	90	10
506	0.90	90	10
507	0.90	90	10
508	0.90	90	10
509	0.90	90	10
510	0.89	89	11
511	0.89	89	11
512	0.89	89	11
513	0.89	89	11
514	0.89	89	11
515	0.89	89	11
516	0.89	89	11
517	0.89	89	11
518	0.89	89	11
519	0.89	89	11
520	0.89	89	11
521	0.88	88	12
522	0.87	87	13
523	0.88	88	12
524	0.89	89	11
525	0.90	90	10
526	0.90	90	10
527	0.91	91	9
528	0.91	91	9
529	0.91	91	9
530	0.91	91	9
531	0.91	91	9
532	0.90	90	10
533	0.90	90	10
534	0.90	90	10
535	0.91	91	9
536	0.91	91	9
537	0.91	91	9
538	0.91	91	9
539	0.90	90	10
540	0.90	90	10
541	0.90	90	10
542	0.90	90	10
543	0.90	90	10
544	0.90	90	10
545	0.90	90	10
546	0.90	90	10
547	0.90	90	10
548	0.89	89	11
549	0.89	89	11
550	0.89	89	11
551	0.89	89	11
552	0.89	89	11
553	0.89	89	11
554	0.88	88	12
555	0.87	87	13
556	0.86	86	14
557	0.86	86	14
558	0.86	86	14
559	0.86	86	14
560	0.86	86	14
561	0.86	86	14
562	0.86	86	14
563	0.86	86	14
564	0.86	86	14
565	0.86	86	14
566	0.86	86	14
567	0.86	86	14
568	0.87	87	13
569	0.87	87	13
570	0.87	87	13
571	0.87	87	13
572	0.87	87	13
573	0.87	87	13
574	0.87	87	13
575	0.87	87	13
576	0.87	87	13
577	0.87	87	13
578	0.87	87	13
579	0.87	87	13
580	0.87	87	13
581	0.87	87	13
582	0.88	88	12
583	0.88	88	12
584	0.88	88	12
585	0.87	87	13
586	0.86	86	14
587	0.86	86	14
588	0.86	86	14
589	0.86	86	14
590	0.86	86	14
591	0.86	86	14
592	0.86	86	14
593	0.86	86	14
594	0.86	86	14
595	0.86	86	14
596	0.86	86	14
597	0.86	86	14
598	0.85	85	15
599	0.85	85	15
600	0.84	84	16
601	0.84	84	16
602	0.84	84	16
603	0.84	84	16
604	0.85	85	15
605	0.85	85	15
606	0.85	85	15
607	0.85	85	15
608	0.84	84	16
609	0.84	84	16
610	0.85	85	15
611	0.85	85	15
612	0.85	85	15
613	0.85	85	15
614	0.85	85	15
615	0.85	85	15
616	0.85	85	15
617	0.85	85	15
618	0.84	84	16
619	0.84	84	16
620	0.84	84	16
621	0.84	84	16
622	0.85	85	15
623	0.85	85	15
624	0.85	85	15
625	0.85	85	15
626	0.85	85	15
627	0.85	85	15
628	0.85	85	15
629	0.85	85	15
630	0.85	85	15
631	0.85	85	15
632	0.86	86	14
633	0.85	85	15
634	0.85	85	15
635	0.85	85	15
636	0.85	85	15
637	0.85	85	15
638	0.85	85	15
639	0.86	86	14
640	0.86	86	14
641	0.85	85	15
642	0.85	85	15
643	0.85	85	15
644	0.85	85	15
