timestep	swarm_quality	color_0	color_1
0	0.70	35	15
1	0.70	35	15
2	0.70	35	15
3	0.68	34	16
4	0.66	33	17
5	0.66	33	17
6	0.66	33	17
7	0.64	32	18
8	0.64	32	18
9	0.62	31	19
10	0.62	31	19
11	0.62	31	19
12	0.62	31	19
13	0.62	31	19
14	0.62	31	19
15	0.60	30	20
16	0.60	30	20
17	0.60	30	20
18	0.60	30	20
19	0.58	29	21
20	0.58	29	21
21	0.58	29	21
22	0.58	29	21
23	0.58	29	21
24	0.58	29	21
25	0.56	28	22
26	0.56	28	22
27	0.56	28	22
28	0.56	28	22
29	0.56	28	22
30	0.56	28	22
31	0.54	27	23
32	0.54	27	23
33	0.54	27	23
34	0.54	27	23
35	0.56	28	22
36	0.58	29	21
37	0.58	29	21
38	0.60	30	20
39	0.62	31	19
40	0.62	31	19
41	0.64	32	18
42	0.66	33	17
43	0.68	34	16
44	0.70	35	15
45	0.72	36	14
46	0.72	36	14
47	0.72	36	14
48	0.74	37	13
49	0.76	38	12
50	0.74	37	13
51	0.74	37	13
52	0.74	37	13
53	0.76	38	12
54	0.76	38	12
55	0.74	37	13
56	0.74	37	13
57	0.74	37	13
58	0.74	37	13
59	0.76	38	12
60	0.76	38	12
61	0.76	38	12
62	0.76	38	12
63	0.74	37	13
64	0.74	37	13
65	0.76	38	12
66	0.76	38	12
67	0.76	38	12
68	0.76	38	12
69	0.78	39	11
70	0.78	39	11
71	0.78	39	11
72	0.76	38	12
73	0.76	38	12
74	0.76	38	12
75	0.78	39	11
76	0.78	39	11
77	0.78	39	11
78	0.78	39	11
79	0.78	39	11
80	0.78	39	11
81	0.80	40	10
82	0.80	40	10
83	0.80	40	10
84	0.80	40	10
85	0.80	40	10
86	0.80	40	10
87	0.82	41	9
88	0.82	41	9
89	0.82	41	9
90	0.84	42	8
91	0.84	42	8
92	0.84	42	8
93	0.84	42	8
94	0.84	42	8
95	0.84	42	8
96	0.86	43	7
97	0.88	44	6
98	0.88	44	6
99	0.88	44	6
100	0.90	45	5
101	0.90	45	5
102	0.90	45	5
103	0.90	45	5
104	0.92	46	4
105	0.94	47	3
106	0.92	46	4
107	0.94	47	3
108	0.94	47	3
109	0.94	47	3
110	0.94	47	3
111	0.94	47	3
112	0.94	47	3
113	0.96	48	2
114	0.96	48	2
115	0.96	48	2
116	0.96	48	2
117	0.96	48	2
118	0.96	48	2
119	0.96	48	2
120	0.96	48	2
121	0.96	48	2
122	0.98	49	1
123	0.98	49	1
124	0.98	49	1
125	0.98	49	1
126	0.98	49	1
127	0.98	49	1
128	0.98	49	1
129	0.98	49	1
130	0.96	48	2
131	0.96	48	2
132	0.96	48	2
133	0.96	48	2
134	0.96	48	2
135	0.96	48	2
136	0.94	47	3
137	0.94	47	3
138	0.94	47	3
139	0.94	47	3
140	0.94	47	3
141	0.94	47	3
142	0.94	47	3
143	0.94	47	3
144	0.94	47	3
145	0.94	47	3
146	0.94	47	3
147	0.94	47	3
148	0.92	46	4
149	0.92	46	4
150	0.92	46	4
151	0.92	46	4
152	0.92	46	4
153	0.92	46	4
154	0.92	46	4
155	0.92	46	4
156	0.94	47	3
157	0.94	47	3
158	0.92	46	4
159	0.92	46	4
160	0.92	46	4
161	0.92	46	4
162	0.92	46	4
163	0.92	46	4
164	0.90	45	5
165	0.90	45	5
166	0.90	45	5
167	0.90	45	5
168	0.90	45	5
169	0.90	45	5
170	0.90	45	5
171	0.90	45	5
172	0.90	45	5
173	0.90	45	5
174	0.88	44	6
175	0.88	44	6
176	0.86	43	7
177	0.86	43	7
178	0.84	42	8
179	0.84	42	8
180	0.86	43	7
181	0.84	42	8
182	0.84	42	8
183	0.84	42	8
184	0.84	42	8
185	0.84	42	8
186	0.84	42	8
187	0.82	41	9
188	0.82	41	9
189	0.82	41	9
190	0.82	41	9
191	0.82	41	9
192	0.82	41	9
193	0.82	41	9
194	0.82	41	9
195	0.82	41	9
196	0.82	41	9
197	0.80	40	10
198	0.82	41	9
199	0.82	41	9
200	0.82	41	9
201	0.82	41	9
202	0.82	41	9
203	0.82	41	9
204	0.82	41	9
205	0.82	41	9
206	0.82	41	9
207	0.80	40	10
208	0.82	41	9
209	0.82	41	9
210	0.82	41	9
211	0.80	40	10
212	0.80	40	10
213	0.80	40	10
214	0.82	41	9
215	0.82	41	9
216	0.80	40	10
217	0.80	40	10
218	0.80	40	10
219	0.80	40	10
220	0.80	40	10
221	0.80	40	10
222	0.80	40	10
223	0.80	40	10
224	0.82	41	9
225	0.82	41	9
226	0.84	42	8
227	0.82	41	9
