timestep	swarm_quality	color_0	color_1
0	0.70	70	30
1	0.70	70	30
2	0.70	70	30
3	0.70	70	30
4	0.70	70	30
5	0.69	69	31
6	0.69	69	31
7	0.69	69	31
8	0.69	69	31
9	0.69	69	31
10	0.69	69	31
11	0.69	69	31
12	0.69	69	31
13	0.69	69	31
14	0.69	69	31
15	0.69	69	31
16	0.69	69	31
17	0.68	68	32
18	0.67	67	33
19	0.67	67	33
20	0.66	66	34
21	0.66	66	34
22	0.65	65	35
23	0.65	65	35
24	0.64	64	36
25	0.64	64	36
26	0.63	63	37
27	0.63	63	37
28	0.62	62	38
29	0.62	62	38
30	0.61	61	39
31	0.61	61	39
32	0.61	61	39
33	0.61	61	39
34	0.61	61	39
35	0.61	61	39
36	0.61	61	39
37	0.61	61	39
38	0.60	60	40
39	0.60	60	40
40	0.60	60	40
41	0.60	60	40
42	0.60	60	40
43	0.60	60	40
44	0.60	60	40
45	0.60	60	40
46	0.60	60	40
47	0.59	59	41
48	0.59	59	41
49	0.58	58	42
50	0.58	58	42
51	0.57	57	43
52	0.57	57	43
53	0.56	56	44
54	0.55	55	45
55	0.55	55	45
56	0.55	55	45
57	0.55	55	45
58	0.54	54	46
59	0.53	53	47
60	0.52	52	48
61	0.52	52	48
62	0.52	52	48
63	0.52	52	48
64	0.52	52	48
65	0.51	51	49
66	0.51	51	49
67	0.50	50	50
68	0.50	50	50
69	0.50	50	50
70	0.51	51	49
71	0.52	52	48
72	0.53	53	47
73	0.54	54	46
74	0.55	55	45
75	0.55	55	45
76	0.56	56	44
77	0.57	57	43
78	0.57	57	43
79	0.58	58	42
80	0.59	59	41
81	0.59	59	41
82	0.60	60	40
83	0.61	61	39
84	0.62	62	38
85	0.63	63	37
86	0.64	64	36
87	0.65	65	35
88	0.65	65	35
89	0.66	66	34
90	0.67	67	33
91	0.68	68	32
92	0.69	69	31
93	0.70	70	30
94	0.71	71	29
95	0.72	72	28
96	0.73	73	27
97	0.74	74	26
98	0.75	75	25
99	0.76	76	24
100	0.76	76	24
101	0.76	76	24
102	0.76	76	24
103	0.76	76	24
104	0.76	76	24
105	0.77	77	23
106	0.77	77	23
107	0.77	77	23
108	0.77	77	23
109	0.77	77	23
110	0.77	77	23
111	0.77	77	23
112	0.77	77	23
113	0.77	77	23
114	0.77	77	23
115	0.77	77	23
116	0.77	77	23
117	0.78	78	22
118	0.79	79	21
119	0.79	79	21
120	0.80	80	20
121	0.80	80	20
122	0.81	81	19
123	0.81	81	19
124	0.82	82	18
125	0.82	82	18
126	0.83	83	17
127	0.83	83	17
128	0.84	84	16
129	0.84	84	16
130	0.85	85	15
131	0.85	85	15
132	0.85	85	15
133	0.85	85	15
134	0.85	85	15
135	0.85	85	15
136	0.84	84	16
137	0.84	84	16
138	0.85	85	15
139	0.85	85	15
140	0.85	85	15
141	0.85	85	15
142	0.85	85	15
143	0.85	85	15
144	0.85	85	15
145	0.84	84	16
146	0.84	84	16
147	0.85	85	15
148	0.85	85	15
149	0.86	86	14
150	0.86	86	14
151	0.87	87	13
152	0.87	87	13
153	0.88	88	12
154	0.89	89	11
155	0.89	89	11
156	0.89	89	11
157	0.88	88	12
158	0.89	89	11
159	0.90	90	10
160	0.90	90	10
161	0.90	90	10
162	0.90	90	10
163	0.90	90	10
164	0.90	90	10
165	0.91	91	9
166	0.91	91	9
167	0.92	92	8
168	0.92	92	8
169	0.91	91	9
170	0.91	91	9
171	0.91	91	9
172	0.91	91	9
173	0.91	91	9
174	0.91	91	9
175	0.92	92	8
176	0.92	92	8
177	0.92	92	8
178	0.93	93	7
179	0.93	93	7
180	0.93	93	7
181	0.93	93	7
182	0.93	93	7
183	0.93	93	7
184	0.93	93	7
185	0.93	93	7
186	0.92	92	8
187	0.92	92	8
188	0.93	93	7
189	0.93	93	7
190	0.93	93	7
191	0.93	93	7
192	0.93	93	7
193	0.93	93	7
194	0.93	93	7
195	0.93	93	7
196	0.93	93	7
197	0.93	93	7
198	0.93	93	7
199	0.93	93	7
200	0.93	93	7
201	0.93	93	7
202	0.93	93	7
203	0.93	93	7
204	0.93	93	7
205	0.93	93	7
206	0.93	93	7
207	0.93	93	7
208	0.93	93	7
209	0.93	93	7
210	0.93	93	7
211	0.93	93	7
212	0.93	93	7
213	0.93	93	7
214	0.93	93	7
215	0.93	93	7
216	0.93	93	7
217	0.93	93	7
218	0.93	93	7
219	0.93	93	7
220	0.92	92	8
221	0.92	92	8
222	0.92	92	8
223	0.92	92	8
224	0.92	92	8
225	0.92	92	8
226	0.91	91	9
227	0.91	91	9
228	0.91	91	9
229	0.91	91	9
230	0.91	91	9
231	0.91	91	9
232	0.91	91	9
233	0.91	91	9
234	0.91	91	9
235	0.91	91	9
236	0.92	92	8
237	0.92	92	8
238	0.92	92	8
239	0.92	92	8
240	0.92	92	8
241	0.92	92	8
242	0.92	92	8
243	0.92	92	8
244	0.92	92	8
245	0.93	93	7
246	0.93	93	7
247	0.93	93	7
248	0.93	93	7
249	0.93	93	7
250	0.93	93	7
251	0.93	93	7
252	0.93	93	7
253	0.93	93	7
254	0.93	93	7
255	0.93	93	7
256	0.93	93	7
257	0.94	94	6
258	0.94	94	6
259	0.94	94	6
260	0.95	95	5
261	0.95	95	5
262	0.95	95	5
263	0.95	95	5
264	0.95	95	5
265	0.94	94	6
266	0.94	94	6
267	0.94	94	6
268	0.94	94	6
269	0.95	95	5
270	0.95	95	5
271	0.95	95	5
272	0.95	95	5
273	0.95	95	5
274	0.94	94	6
275	0.94	94	6
276	0.94	94	6
277	0.94	94	6
278	0.94	94	6
279	0.94	94	6
280	0.94	94	6
281	0.95	95	5
282	0.95	95	5
283	0.95	95	5
284	0.95	95	5
285	0.95	95	5
286	0.96	96	4
287	0.96	96	4
288	0.96	96	4
289	0.96	96	4
290	0.95	95	5
291	0.95	95	5
292	0.95	95	5
293	0.95	95	5
294	0.95	95	5
295	0.95	95	5
296	0.95	95	5
297	0.95	95	5
298	0.95	95	5
299	0.95	95	5
300	0.95	95	5
301	0.95	95	5
302	0.95	95	5
303	0.95	95	5
304	0.95	95	5
305	0.95	95	5
306	0.95	95	5
307	0.95	95	5
308	0.95	95	5
309	0.95	95	5
310	0.95	95	5
311	0.95	95	5
312	0.95	95	5
313	0.95	95	5
314	0.95	95	5
315	0.95	95	5
316	0.94	94	6
317	0.94	94	6
318	0.94	94	6
319	0.94	94	6
320	0.95	95	5
321	0.95	95	5
322	0.95	95	5
323	0.95	95	5
324	0.95	95	5
325	0.95	95	5
326	0.95	95	5
327	0.95	95	5
328	0.95	95	5
329	0.95	95	5
330	0.95	95	5
331	0.95	95	5
332	0.95	95	5
333	0.95	95	5
334	0.95	95	5
335	0.95	95	5
336	0.95	95	5
337	0.95	95	5
338	0.95	95	5
339	0.95	95	5
340	0.95	95	5
341	0.95	95	5
342	0.95	95	5
343	0.95	95	5
344	0.95	95	5
345	0.94	94	6
346	0.94	94	6
347	0.94	94	6
348	0.94	94	6
349	0.94	94	6
350	0.94	94	6
351	0.94	94	6
352	0.94	94	6
353	0.94	94	6
354	0.94	94	6
355	0.94	94	6
356	0.94	94	6
357	0.94	94	6
358	0.94	94	6
359	0.94	94	6
360	0.93	93	7
361	0.93	93	7
362	0.93	93	7
363	0.92	92	8
364	0.92	92	8
365	0.93	93	7
366	0.93	93	7
367	0.93	93	7
368	0.93	93	7
369	0.92	92	8
370	0.92	92	8
371	0.92	92	8
372	0.92	92	8
373	0.92	92	8
374	0.93	93	7
375	0.93	93	7
376	0.93	93	7
377	0.93	93	7
378	0.93	93	7
379	0.93	93	7
380	0.93	93	7
381	0.93	93	7
382	0.93	93	7
383	0.93	93	7
384	0.93	93	7
385	0.93	93	7
386	0.93	93	7
387	0.93	93	7
388	0.93	93	7
389	0.93	93	7
390	0.94	94	6
391	0.94	94	6
392	0.94	94	6
393	0.94	94	6
394	0.94	94	6
395	0.94	94	6
396	0.94	94	6
397	0.94	94	6
398	0.94	94	6
399	0.94	94	6
400	0.94	94	6
401	0.93	93	7
402	0.93	93	7
403	0.93	93	7
404	0.93	93	7
405	0.92	92	8
406	0.92	92	8
407	0.91	91	9
408	0.91	91	9
409	0.91	91	9
410	0.91	91	9
411	0.91	91	9
412	0.91	91	9
413	0.91	91	9
414	0.91	91	9
415	0.91	91	9
416	0.92	92	8
417	0.92	92	8
418	0.92	92	8
419	0.92	92	8
420	0.92	92	8
421	0.92	92	8
422	0.92	92	8
423	0.92	92	8
424	0.92	92	8
425	0.92	92	8
426	0.93	93	7
427	0.93	93	7
428	0.93	93	7
429	0.93	93	7
430	0.93	93	7
431	0.93	93	7
432	0.93	93	7
433	0.93	93	7
434	0.93	93	7
435	0.92	92	8
436	0.92	92	8
437	0.92	92	8
438	0.92	92	8
439	0.92	92	8
440	0.92	92	8
441	0.92	92	8
442	0.92	92	8
443	0.92	92	8
444	0.92	92	8
445	0.93	93	7
446	0.93	93	7
447	0.93	93	7
448	0.93	93	7
449	0.93	93	7
450	0.93	93	7
451	0.93	93	7
452	0.93	93	7
453	0.93	93	7
454	0.93	93	7
455	0.93	93	7
456	0.93	93	7
457	0.93	93	7
458	0.93	93	7
459	0.93	93	7
460	0.94	94	6
461	0.94	94	6
462	0.94	94	6
463	0.95	95	5
464	0.95	95	5
465	0.95	95	5
466	0.95	95	5
467	0.94	94	6
468	0.94	94	6
469	0.95	95	5
470	0.95	95	5
471	0.95	95	5
472	0.95	95	5
473	0.95	95	5
474	0.95	95	5
475	0.95	95	5
476	0.95	95	5
477	0.95	95	5
478	0.95	95	5
479	0.95	95	5
480	0.95	95	5
481	0.95	95	5
482	0.95	95	5
483	0.95	95	5
484	0.95	95	5
485	0.95	95	5
486	0.95	95	5
487	0.95	95	5
488	0.95	95	5
489	0.95	95	5
490	0.95	95	5
491	0.95	95	5
492	0.95	95	5
493	0.94	94	6
494	0.94	94	6
495	0.94	94	6
496	0.94	94	6
497	0.93	93	7
498	0.93	93	7
499	0.92	92	8
500	0.91	91	9
501	0.92	92	8
502	0.92	92	8
503	0.92	92	8
504	0.92	92	8
505	0.93	93	7
506	0.93	93	7
507	0.94	94	6
508	0.94	94	6
509	0.94	94	6
510	0.94	94	6
511	0.94	94	6
512	0.94	94	6
513	0.94	94	6
514	0.94	94	6
515	0.94	94	6
516	0.94	94	6
517	0.94	94	6
518	0.94	94	6
519	0.94	94	6
520	0.94	94	6
521	0.94	94	6
522	0.94	94	6
523	0.94	94	6
524	0.94	94	6
525	0.94	94	6
526	0.94	94	6
527	0.94	94	6
528	0.94	94	6
529	0.94	94	6
530	0.94	94	6
531	0.93	93	7
532	0.93	93	7
533	0.93	93	7
534	0.93	93	7
535	0.94	94	6
536	0.94	94	6
537	0.94	94	6
538	0.94	94	6
539	0.94	94	6
540	0.94	94	6
541	0.94	94	6
542	0.94	94	6
543	0.94	94	6
544	0.94	94	6
545	0.94	94	6
546	0.94	94	6
547	0.93	93	7
548	0.93	93	7
549	0.93	93	7
550	0.93	93	7
551	0.93	93	7
552	0.93	93	7
553	0.93	93	7
554	0.93	93	7
555	0.93	93	7
556	0.93	93	7
557	0.93	93	7
558	0.93	93	7
559	0.93	93	7
560	0.93	93	7
561	0.93	93	7
562	0.93	93	7
563	0.92	92	8
564	0.92	92	8
565	0.92	92	8
566	0.92	92	8
567	0.93	93	7
568	0.93	93	7
569	0.93	93	7
570	0.93	93	7
571	0.93	93	7
572	0.93	93	7
573	0.93	93	7
574	0.93	93	7
575	0.92	92	8
576	0.92	92	8
577	0.92	92	8
578	0.92	92	8
579	0.92	92	8
580	0.92	92	8
581	0.92	92	8
582	0.92	92	8
583	0.91	91	9
584	0.91	91	9
585	0.91	91	9
586	0.91	91	9
587	0.91	91	9
588	0.91	91	9
589	0.91	91	9
590	0.91	91	9
591	0.91	91	9
592	0.90	90	10
593	0.91	91	9
594	0.90	90	10
595	0.90	90	10
596	0.89	89	11
597	0.90	90	10
598	0.89	89	11
599	0.90	90	10
600	0.90	90	10
601	0.89	89	11
602	0.89	89	11
603	0.89	89	11
604	0.89	89	11
605	0.89	89	11
606	0.89	89	11
607	0.89	89	11
608	0.89	89	11
609	0.88	88	12
610	0.88	88	12
611	0.88	88	12
612	0.88	88	12
613	0.88	88	12
614	0.88	88	12
615	0.88	88	12
616	0.88	88	12
617	0.88	88	12
618	0.88	88	12
619	0.87	87	13
620	0.87	87	13
621	0.87	87	13
622	0.87	87	13
623	0.87	87	13
624	0.87	87	13
625	0.87	87	13
626	0.86	86	14
627	0.86	86	14
628	0.86	86	14
629	0.86	86	14
630	0.86	86	14
631	0.87	87	13
632	0.86	86	14
633	0.86	86	14
634	0.86	86	14
635	0.86	86	14
636	0.86	86	14
637	0.85	85	15
638	0.85	85	15
639	0.85	85	15
640	0.84	84	16
641	0.84	84	16
642	0.84	84	16
643	0.84	84	16
644	0.84	84	16
