timestep	swarm_quality	color_0	color_1	color_2	color_3	color_4
0	0.70	35	2	4	6	3
1	0.70	35	2	4	6	3
2	0.70	35	2	4	6	3
3	0.70	35	2	4	6	3
4	0.70	35	2	4	6	3
5	0.70	35	2	4	6	3
6	0.70	35	2	4	6	3
7	0.70	35	2	4	6	3
8	0.70	35	2	4	6	3
9	0.70	35	2	4	6	3
10	0.68	34	2	4	6	4
11	0.68	34	2	4	6	4
12	0.68	34	2	4	6	4
13	0.68	34	2	4	6	4
14	0.66	33	2	5	6	4
15	0.66	33	2	5	6	4
16	0.66	33	2	5	6	4
17	0.64	32	3	5	6	4
18	0.64	32	3	5	6	4
19	0.64	32	3	5	6	4
20	0.64	32	3	5	6	4
21	0.64	32	3	5	6	4
22	0.64	32	3	5	6	4
23	0.64	32	3	5	6	4
24	0.64	32	3	5	6	4
25	0.62	31	3	6	6	4
26	0.62	31	3	6	6	4
27	0.62	31	3	6	6	4
28	0.62	31	3	6	6	4
29	0.62	31	3	6	6	4
30	0.62	31	3	6	6	4
31	0.62	31	3	6	6	4
32	0.62	31	3	6	6	4
33	0.62	31	3	6	6	4
34	0.62	31	3	6	6	4
35	0.64	32	3	6	5	4
36	0.64	32	3	5	5	5
37	0.66	33	3	4	5	5
38	0.68	34	3	4	4	5
39	0.70	35	3	3	4	5
40	0.72	36	3	3	4	4
41	0.74	37	3	3	3	4
42	0.76	38	3	3	2	4
43	0.78	39	2	3	2	4
44	0.80	40	1	3	2	4
45	0.82	41	1	3	1	4
46	0.84	42	1	3	1	3
47	0.86	43	1	3	1	2
48	0.88	44	1	2	1	2
49	0.90	45	1	2	0	2
50	0.90	45	1	2	0	2
51	0.90	45	1	2	0	2
52	0.90	45	1	2	0	2
53	0.90	45	1	2	0	2
54	0.90	45	1	2	0	2
55	0.90	45	1	2	0	2
56	0.90	45	1	2	0	2
57	0.90	45	1	2	0	2
58	0.90	45	1	2	0	2
59	0.90	45	1	2	0	2
60	0.92	46	1	2	0	1
61	0.92	46	1	2	0	1
62	0.90	45	1	3	0	1
63	0.90	45	1	3	0	1
64	0.90	45	1	2	1	1
65	0.90	45	1	2	1	1
66	0.90	45	1	2	1	1
67	0.92	46	0	2	1	1
68	0.92	46	0	2	1	1
69	0.92	46	0	2	1	1
70	0.92	46	0	2	1	1
71	0.92	46	0	2	1	1
72	0.92	46	0	2	1	1
73	0.92	46	0	2	1	1
74	0.92	46	0	2	1	1
75	0.94	47	0	1	1	1
76	0.94	47	0	1	1	1
77	0.94	47	0	1	1	1
78	0.94	47	0	1	1	1
79	0.94	47	0	1	1	1
80	0.92	46	1	1	1	1
81	0.92	46	1	1	1	1
82	0.92	46	1	1	1	1
83	0.92	46	1	1	1	1
84	0.92	46	1	1	1	1
85	0.92	46	1	1	1	1
86	0.94	47	1	1	1	0
87	0.94	47	1	1	1	0
88	0.94	47	1	1	1	0
89	0.94	47	1	1	1	0
90	0.94	47	1	1	1	0
91	0.94	47	1	1	1	0
92	0.94	47	1	1	1	0
93	0.94	47	1	1	1	0
94	0.94	47	1	1	1	0
95	0.94	47	1	1	1	0
96	0.94	47	1	1	1	0
97	0.94	47	1	1	1	0
98	0.92	46	2	1	1	0
99	0.92	46	2	1	1	0
100	0.90	45	2	1	2	0
101	0.90	45	2	1	2	0
102	0.90	45	2	1	2	0
103	0.88	44	3	1	2	0
104	0.88	44	3	1	2	0
105	0.88	44	3	1	2	0
106	0.88	44	3	1	2	0
107	0.88	44	3	1	2	0
108	0.88	44	3	1	2	0
109	0.88	44	3	1	2	0
110	0.88	44	3	1	2	0
111	0.88	44	3	1	2	0
112	0.90	45	3	0	2	0
113	0.90	45	3	0	2	0
114	0.92	46	3	0	1	0
115	0.92	46	3	0	1	0
116	0.92	46	3	0	1	0
117	0.92	46	3	0	1	0
118	0.92	46	3	0	1	0
119	0.92	46	3	0	1	0
120	0.92	46	3	0	1	0
121	0.92	46	3	0	1	0
122	0.92	46	3	0	1	0
123	0.92	46	3	0	1	0
124	0.92	46	3	0	1	0
125	0.92	46	3	0	1	0
126	0.92	46	3	0	1	0
127	0.90	45	3	1	1	0
128	0.90	45	3	1	1	0
129	0.90	45	3	1	1	0
130	0.92	46	2	1	1	0
131	0.92	46	2	1	1	0
132	0.92	46	2	1	1	0
133	0.92	46	2	1	1	0
134	0.92	46	2	1	1	0
135	0.92	46	2	1	1	0
136	0.92	46	2	1	1	0
137	0.90	45	2	1	1	1
138	0.88	44	2	1	2	1
139	0.88	44	2	1	2	1
140	0.88	44	2	1	2	1
141	0.88	44	2	1	2	1
142	0.88	44	2	1	2	1
143	0.88	44	2	1	2	1
144	0.88	44	2	1	2	1
145	0.88	44	2	1	2	1
146	0.88	44	2	1	2	1
147	0.88	44	2	1	2	1
148	0.88	44	2	1	2	1
149	0.88	44	2	1	2	1
150	0.90	45	2	1	1	1
151	0.90	45	2	1	1	1
152	0.90	45	2	1	1	1
153	0.92	46	1	1	1	1
154	0.92	46	1	1	1	1
155	0.92	46	1	1	1	1
156	0.92	46	1	1	1	1
157	0.92	46	1	1	1	1
158	0.92	46	1	1	1	1
159	0.92	46	1	1	1	1
160	0.90	45	1	1	2	1
161	0.90	45	1	1	2	1
162	0.90	45	1	1	2	1
163	0.90	45	1	1	2	1
164	0.90	45	1	1	2	1
165	0.90	45	1	1	2	1
166	0.90	45	1	1	2	1
167	0.90	45	1	1	2	1
168	0.90	45	1	1	2	1
169	0.90	45	1	1	2	1
170	0.90	45	1	1	2	1
171	0.90	45	1	1	2	1
172	0.88	44	2	1	2	1
173	0.88	44	2	1	2	1
174	0.88	44	2	1	2	1
175	0.88	44	2	1	2	1
176	0.88	44	2	1	2	1
177	0.88	44	3	0	2	1
178	0.86	43	3	0	3	1
179	0.86	43	3	0	3	1
180	0.86	43	3	0	3	1
181	0.86	43	3	0	3	1
182	0.86	43	3	0	3	1
183	0.86	43	3	0	3	1
184	0.86	43	3	0	3	1
185	0.86	43	3	0	3	1
186	0.86	43	3	0	3	1
187	0.88	44	3	0	3	0
188	0.90	45	3	0	2	0
189	0.90	45	3	0	2	0
190	0.90	45	3	0	2	0
191	0.90	45	3	0	2	0
192	0.88	44	3	1	2	0
193	0.88	44	3	1	2	0
194	0.88	44	3	1	2	0
195	0.86	43	4	1	2	0
196	0.86	43	4	1	2	0
197	0.84	42	4	1	3	0
198	0.86	43	3	1	3	0
199	0.86	43	3	1	3	0
200	0.84	42	3	1	3	1
201	0.82	41	3	1	3	2
202	0.82	41	3	1	3	2
203	0.80	40	4	1	3	2
204	0.80	40	4	1	3	2
205	0.80	40	4	1	3	2
206	0.80	40	4	1	3	2
207	0.80	40	4	1	3	2
208	0.80	40	4	1	3	2
209	0.80	40	4	1	3	2
210	0.82	41	4	1	2	2
211	0.82	41	4	1	2	2
212	0.80	40	5	1	2	2
213	0.80	40	5	1	2	2
214	0.80	40	5	1	2	2
215	0.80	40	5	1	2	2
216	0.80	40	5	1	2	2
217	0.80	40	5	1	2	2
218	0.80	40	5	1	2	2
219	0.80	40	5	1	2	2
220	0.80	40	5	1	2	2
221	0.80	40	5	1	2	2
222	0.82	41	4	1	2	2
223	0.82	41	4	1	2	2
224	0.82	41	4	1	2	2
225	0.82	41	4	1	2	2
226	0.82	41	4	1	2	2
227	0.84	42	3	1	2	2
228	0.86	43	3	1	1	2
229	0.86	43	3	1	1	2
230	0.86	43	3	1	1	2
231	0.86	43	3	1	1	2
232	0.86	43	3	1	1	2
233	0.86	43	3	1	1	2
234	0.84	42	3	2	1	2
235	0.84	42	3	2	1	2
236	0.84	42	3	2	1	2
237	0.82	41	4	2	1	2
238	0.82	41	4	2	1	2
239	0.80	40	4	2	2	2
240	0.80	40	4	2	2	2
241	0.80	40	4	2	2	2
242	0.82	41	4	1	2	2
243	0.82	41	4	1	2	2
244	0.82	41	4	1	2	2
245	0.84	42	3	1	2	2
246	0.84	42	3	1	2	2
247	0.86	43	3	1	1	2
248	0.84	42	3	1	2	2
249	0.84	42	3	1	2	2
250	0.86	43	3	1	2	1
251	0.88	44	3	1	2	0
252	0.88	44	3	1	2	0
253	0.88	44	2	1	2	1
254	0.88	44	2	1	2	1
255	0.88	44	2	1	2	1
256	0.88	44	2	1	2	1
257	0.88	44	2	1	2	1
258	0.88	44	2	1	2	1
259	0.88	44	2	1	2	1
260	0.88	44	2	1	2	1
261	0.88	44	2	1	2	1
262	0.90	45	1	1	2	1
263	0.90	45	1	1	2	1
264	0.90	45	1	1	2	1
265	0.90	45	1	1	2	1
266	0.90	45	1	1	2	1
267	0.88	44	1	1	3	1
268	0.88	44	1	1	3	1
269	0.86	43	2	1	3	1
270	0.86	43	2	1	3	1
271	0.84	42	2	1	4	1
272	0.84	42	2	1	4	1
273	0.84	42	2	1	4	1
274	0.84	42	2	1	4	1
275	0.82	41	2	2	4	1
276	0.82	41	2	2	4	1
277	0.80	40	2	2	5	1
278	0.80	40	2	2	5	1
279	0.78	39	3	2	5	1
280	0.78	39	3	2	5	1
281	0.78	39	3	2	5	1
282	0.76	38	3	3	5	1
283	0.76	38	3	3	5	1
284	0.78	39	3	2	5	1
285	0.78	39	3	2	5	1
286	0.78	39	3	2	5	1
287	0.80	40	2	2	5	1
288	0.80	40	2	2	5	1
289	0.82	41	2	2	4	1
290	0.82	41	2	2	4	1
291	0.82	41	2	2	4	1
292	0.82	41	2	2	4	1
293	0.80	40	2	2	4	2
294	0.80	40	2	2	4	2
295	0.80	40	2	2	4	2
296	0.78	39	3	2	4	2
297	0.78	39	3	2	4	2
298	0.80	40	3	2	3	2
299	0.80	40	3	2	3	2
300	0.80	40	3	2	3	2
301	0.78	39	3	2	3	3
302	0.78	39	3	2	3	3
303	0.80	40	3	2	3	2
304	0.80	40	3	2	3	2
305	0.80	40	3	2	3	2
306	0.80	40	3	2	3	2
307	0.78	39	3	2	4	2
308	0.78	39	3	2	4	2
309	0.78	39	3	2	4	2
310	0.78	39	3	2	4	2
311	0.78	39	3	2	4	2
312	0.78	39	3	2	4	2
313	0.76	38	3	2	5	2
314	0.76	38	3	2	5	2
315	0.76	38	3	2	5	2
316	0.76	38	3	2	5	2
317	0.76	38	3	2	5	2
318	0.76	38	3	2	5	2
319	0.76	38	2	2	6	2
320	0.76	38	2	2	6	2
321	0.78	39	2	2	5	2
322	0.78	39	2	2	5	2
323	0.78	39	2	2	5	2
324	0.78	39	2	2	5	2
325	0.80	40	2	1	5	2
326	0.80	40	2	1	5	2
327	0.82	41	2	1	4	2
328	0.82	41	2	1	4	2
329	0.84	42	1	1	4	2
330	0.84	42	1	1	4	2
331	0.82	41	2	1	4	2
332	0.84	42	2	0	4	2
333	0.84	42	2	0	4	2
334	0.84	42	2	0	4	2
335	0.84	42	2	0	4	2
336	0.84	42	2	0	4	2
337	0.84	42	2	0	4	2
338	0.84	42	2	0	4	2
339	0.82	41	2	0	4	3
340	0.82	41	2	0	4	3
341	0.80	40	2	1	4	3
342	0.80	40	2	1	4	3
343	0.82	41	2	1	4	2
344	0.82	41	2	1	4	2
345	0.82	41	2	1	4	2
346	0.84	42	1	1	4	2
347	0.84	42	1	1	4	2
348	0.84	42	1	1	4	2
349	0.84	42	1	1	4	2
350	0.84	42	1	1	4	2
351	0.86	43	1	1	4	1
352	0.86	43	1	1	4	1
353	0.86	43	1	1	4	1
354	0.86	43	1	1	4	1
355	0.84	42	1	2	4	1
356	0.84	42	1	2	4	1
357	0.86	43	1	2	3	1
358	0.86	43	1	2	3	1
359	0.86	43	1	2	3	1
360	0.84	42	1	2	3	2
361	0.84	42	1	2	3	2
362	0.84	42	1	2	3	2
363	0.86	43	1	2	2	2
364	0.86	43	1	2	2	2
365	0.86	43	1	2	2	2
366	0.86	43	1	2	2	2
367	0.86	43	2	2	1	2
368	0.86	43	2	2	1	2
369	0.88	44	2	2	0	2
370	0.86	43	2	2	0	3
371	0.84	42	2	3	0	3
372	0.84	42	2	3	0	3
373	0.84	42	2	3	0	3
374	0.84	42	2	3	0	3
375	0.84	42	2	3	0	3
376	0.84	42	2	3	0	3
377	0.84	42	2	3	0	3
378	0.84	42	2	3	0	3
379	0.84	42	2	3	0	3
380	0.84	42	2	3	0	3
381	0.86	43	1	3	0	3
382	0.86	43	1	3	0	3
383	0.84	42	1	3	1	3
384	0.84	42	1	3	1	3
385	0.84	42	1	3	1	3
386	0.84	42	1	3	1	3
387	0.84	42	1	3	1	3
388	0.84	42	1	3	1	3
389	0.86	43	1	3	1	2
390	0.86	43	1	3	1	2
391	0.88	44	1	2	1	2
392	0.88	44	1	2	1	2
393	0.88	44	1	2	1	2
394	0.86	43	1	3	1	2
395	0.86	43	1	3	1	2
396	0.86	43	1	3	1	2
397	0.86	43	1	3	1	2
398	0.86	43	1	3	1	2
399	0.86	43	1	3	1	2
400	0.84	42	1	4	1	2
401	0.84	42	1	4	1	2
402	0.84	42	1	4	1	2
403	0.84	42	1	4	1	2
404	0.84	42	1	4	1	2
405	0.84	42	1	4	1	2
406	0.84	42	1	4	1	2
407	0.84	42	1	4	1	2
408	0.82	41	1	4	1	3
