timestep	swarm_quality	color_0	color_1	color_2	color_3	color_4
0	0.70	35	2	8	1	4
1	0.70	35	2	8	1	4
2	0.70	35	2	8	1	4
3	0.70	35	2	8	1	4
4	0.70	35	2	8	1	4
5	0.70	35	2	8	1	4
6	0.70	35	2	8	1	4
7	0.70	35	2	8	1	4
8	0.70	35	2	8	1	4
9	0.70	35	2	8	1	4
10	0.70	35	2	8	1	4
11	0.68	34	2	9	1	4
12	0.68	34	2	9	1	4
13	0.68	34	2	9	1	4
14	0.68	34	2	9	1	4
15	0.66	33	2	10	1	4
16	0.66	33	2	10	1	4
17	0.64	32	2	10	2	4
18	0.62	31	2	10	3	4
19	0.60	30	2	10	4	4
20	0.60	30	2	10	4	4
21	0.60	30	2	10	4	4
22	0.60	30	2	10	4	4
23	0.60	30	2	10	4	4
24	0.60	30	2	10	4	4
25	0.58	29	3	10	4	4
26	0.56	28	3	10	4	5
27	0.56	28	3	10	4	5
28	0.56	28	3	10	4	5
29	0.54	27	4	10	4	5
30	0.54	27	4	10	4	5
31	0.54	27	4	10	4	5
32	0.54	27	4	10	4	5
33	0.54	27	4	10	4	5
34	0.54	27	4	10	4	5
35	0.56	28	4	9	4	5
36	0.56	28	5	8	4	5
37	0.58	29	4	8	4	5
38	0.60	30	4	8	4	4
39	0.62	31	4	7	4	4
40	0.62	31	5	6	4	4
41	0.64	32	5	5	4	4
42	0.66	33	5	4	4	4
43	0.66	33	5	5	4	3
44	0.68	34	5	4	4	3
45	0.70	35	5	3	4	3
46	0.72	36	5	3	3	3
47	0.74	37	4	3	3	3
48	0.76	38	4	3	3	2
49	0.78	39	4	3	3	1
50	0.78	39	4	3	3	1
51	0.78	39	4	3	3	1
52	0.78	39	4	3	3	1
53	0.78	39	4	3	3	1
54	0.78	39	4	3	3	1
55	0.78	39	4	3	3	1
56	0.78	39	4	3	3	1
57	0.78	39	4	3	3	1
58	0.78	39	4	3	3	1
59	0.78	39	4	3	3	1
60	0.78	39	4	3	3	1
61	0.80	40	4	2	3	1
62	0.80	40	4	2	3	1
63	0.80	40	4	2	3	1
64	0.80	40	4	2	3	1
65	0.82	41	4	1	3	1
66	0.80	40	4	2	3	1
67	0.82	41	4	2	2	1
68	0.84	42	4	2	1	1
69	0.86	43	4	2	0	1
70	0.86	43	4	2	0	1
71	0.86	43	4	2	0	1
72	0.86	43	4	2	0	1
73	0.86	43	4	2	0	1
74	0.86	43	4	2	0	1
75	0.88	44	3	2	0	1
76	0.90	45	3	2	0	0
77	0.90	45	3	2	0	0
78	0.90	45	3	2	0	0
79	0.92	46	2	2	0	0
80	0.92	46	2	2	0	0
81	0.92	46	2	2	0	0
82	0.92	46	2	2	0	0
83	0.92	46	2	2	0	0
84	0.92	46	2	2	0	0
85	0.92	46	2	2	0	0
86	0.94	47	1	2	0	0
87	0.92	46	1	3	0	0
88	0.92	46	1	3	0	0
89	0.92	46	1	3	0	0
90	0.94	47	0	3	0	0
91	0.94	47	0	3	0	0
92	0.94	47	0	3	0	0
93	0.94	47	0	2	1	0
94	0.94	47	0	2	1	0
95	0.94	47	0	2	1	0
96	0.94	47	0	2	1	0
97	0.94	47	0	2	1	0
98	0.94	47	0	2	1	0
99	0.94	47	0	2	1	0
100	0.94	47	0	2	1	0
101	0.94	47	0	2	1	0
102	0.94	47	0	2	1	0
103	0.94	47	0	2	1	0
104	0.94	47	0	2	1	0
105	0.94	47	0	2	1	0
106	0.92	46	0	2	1	1
107	0.92	46	0	2	1	1
108	0.92	46	0	2	1	1
109	0.92	46	0	2	1	1
110	0.92	46	0	2	1	1
111	0.92	46	0	2	1	1
112	0.92	46	0	2	1	1
113	0.92	46	0	2	1	1
114	0.92	46	0	2	1	1
115	0.92	46	0	2	1	1
116	0.94	47	0	1	1	1
117	0.94	47	0	1	1	1
118	0.94	47	0	1	1	1
119	0.94	47	0	1	1	1
120	0.94	47	0	1	1	1
121	0.94	47	0	1	1	1
122	0.94	47	0	1	1	1
123	0.94	47	0	1	1	1
124	0.94	47	0	1	1	1
125	0.94	47	0	1	1	1
126	0.94	47	0	1	1	1
127	0.94	47	0	1	1	1
128	0.94	47	0	1	1	1
129	0.94	47	0	1	1	1
130	0.94	47	0	1	1	1
131	0.94	47	0	1	1	1
132	0.94	47	0	1	1	1
133	0.94	47	0	1	1	1
134	0.94	47	0	1	1	1
135	0.94	47	0	1	1	1
136	0.94	47	0	1	1	1
137	0.96	48	0	0	1	1
138	0.96	48	0	0	1	1
139	0.96	48	0	0	1	1
140	0.96	48	0	0	1	1
141	0.96	48	0	0	1	1
142	0.96	48	0	0	1	1
143	0.98	49	0	0	0	1
144	0.98	49	0	0	0	1
145	0.98	49	0	0	0	1
146	0.96	48	0	0	1	1
147	0.94	47	0	0	1	2
148	0.94	47	0	0	1	2
149	0.94	47	0	0	1	2
150	0.94	47	0	0	1	2
151	0.94	47	0	0	1	2
152	0.92	46	0	1	1	2
153	0.92	46	0	1	1	2
154	0.92	46	0	1	1	2
155	0.92	46	0	1	1	2
156	0.92	46	0	1	2	1
157	0.92	46	0	1	2	1
158	0.92	46	0	1	2	1
159	0.92	46	0	1	2	1
160	0.92	46	0	1	2	1
161	0.92	46	0	1	2	1
162	0.92	46	0	1	2	1
163	0.92	46	0	1	2	1
164	0.92	46	0	1	2	1
165	0.92	46	0	1	2	1
166	0.92	46	0	1	2	1
167	0.92	46	0	1	2	1
168	0.92	46	0	1	2	1
169	0.92	46	0	1	2	1
170	0.92	46	0	1	2	1
171	0.92	46	0	1	2	1
172	0.92	46	0	1	2	1
173	0.92	46	0	1	2	1
174	0.92	46	0	1	2	1
175	0.92	46	0	1	2	1
176	0.92	46	0	1	2	1
177	0.92	46	0	1	2	1
178	0.92	46	0	1	2	1
179	0.92	46	0	1	2	1
180	0.92	46	0	1	2	1
181	0.92	46	0	1	2	1
182	0.92	46	0	1	2	1
183	0.92	46	0	1	2	1
184	0.92	46	0	1	2	1
185	0.92	46	0	1	2	1
186	0.92	46	0	1	2	1
187	0.92	46	0	1	2	1
188	0.90	45	0	1	2	2
189	0.90	45	0	1	2	2
190	0.90	45	0	1	2	2
191	0.90	45	0	1	2	2
192	0.90	45	0	1	2	2
193	0.90	45	0	1	2	2
194	0.90	45	0	1	2	2
195	0.90	45	0	1	2	2
196	0.92	46	0	1	1	2
197	0.94	47	0	1	1	1
198	0.94	47	0	1	1	1
199	0.94	47	0	1	1	1
200	0.94	47	0	1	1	1
201	0.94	47	0	1	1	1
202	0.96	48	0	0	1	1
203	0.96	48	0	0	1	1
204	0.96	48	0	0	1	1
205	0.96	48	0	0	1	1
206	0.98	49	0	0	0	1
207	0.98	49	0	0	0	1
208	0.98	49	0	0	0	1
209	0.98	49	0	0	0	1
210	0.98	49	0	0	0	1
211	0.98	49	0	0	0	1
212	0.98	49	0	0	0	1
213	0.98	49	0	0	0	1
214	0.98	49	0	0	0	1
