timestep	swarm_quality	color_0	color_1
0	0.70	35	15
1	0.70	35	15
2	0.70	35	15
3	0.68	34	16
4	0.68	34	16
5	0.68	34	16
6	0.68	34	16
7	0.68	34	16
8	0.68	34	16
9	0.68	34	16
10	0.68	34	16
11	0.66	33	17
12	0.66	33	17
13	0.66	33	17
14	0.64	32	18
15	0.64	32	18
16	0.62	31	19
17	0.62	31	19
18	0.62	31	19
19	0.62	31	19
20	0.60	30	20
21	0.58	29	21
22	0.58	29	21
23	0.58	29	21
24	0.56	28	22
25	0.56	28	22
26	0.56	28	22
27	0.56	28	22
28	0.56	28	22
29	0.56	28	22
30	0.56	28	22
31	0.56	28	22
32	0.54	27	23
33	0.54	27	23
34	0.54	27	23
35	0.54	27	23
36	0.56	28	22
37	0.58	29	21
38	0.60	30	20
39	0.60	30	20
40	0.60	30	20
41	0.62	31	19
42	0.64	32	18
43	0.66	33	17
44	0.68	34	16
45	0.70	35	15
46	0.72	36	14
47	0.72	36	14
48	0.74	37	13
49	0.76	38	12
50	0.76	38	12
51	0.74	37	13
52	0.72	36	14
53	0.72	36	14
54	0.72	36	14
55	0.70	35	15
56	0.68	34	16
57	0.68	34	16
58	0.68	34	16
59	0.68	34	16
60	0.66	33	17
61	0.66	33	17
62	0.66	33	17
63	0.66	33	17
64	0.66	33	17
65	0.64	32	18
66	0.66	33	17
67	0.66	33	17
68	0.66	33	17
69	0.66	33	17
70	0.68	34	16
71	0.70	35	15
72	0.68	34	16
73	0.68	34	16
74	0.68	34	16
75	0.68	34	16
76	0.68	34	16
77	0.68	34	16
78	0.68	34	16
79	0.68	34	16
80	0.68	34	16
81	0.68	34	16
82	0.70	35	15
83	0.70	35	15
84	0.70	35	15
85	0.72	36	14
86	0.72	36	14
87	0.72	36	14
88	0.72	36	14
89	0.74	37	13
90	0.76	38	12
91	0.76	38	12
92	0.76	38	12
93	0.76	38	12
94	0.76	38	12
95	0.76	38	12
96	0.76	38	12
97	0.78	39	11
98	0.78	39	11
99	0.76	38	12
100	0.76	38	12
101	0.78	39	11
102	0.80	40	10
103	0.82	41	9
104	0.82	41	9
105	0.84	42	8
106	0.86	43	7
107	0.84	42	8
108	0.84	42	8
109	0.84	42	8
110	0.86	43	7
111	0.88	44	6
112	0.88	44	6
113	0.88	44	6
114	0.88	44	6
115	0.88	44	6
116	0.88	44	6
117	0.88	44	6
118	0.86	43	7
119	0.86	43	7
120	0.86	43	7
121	0.86	43	7
122	0.88	44	6
123	0.88	44	6
124	0.90	45	5
125	0.90	45	5
126	0.90	45	5
127	0.90	45	5
128	0.90	45	5
129	0.90	45	5
130	0.90	45	5
131	0.90	45	5
132	0.88	44	6
133	0.86	43	7
134	0.84	42	8
135	0.84	42	8
136	0.82	41	9
137	0.82	41	9
138	0.82	41	9
139	0.82	41	9
140	0.80	40	10
141	0.80	40	10
142	0.80	40	10
143	0.80	40	10
144	0.80	40	10
145	0.80	40	10
146	0.78	39	11
147	0.78	39	11
148	0.78	39	11
149	0.78	39	11
150	0.78	39	11
151	0.78	39	11
152	0.78	39	11
153	0.78	39	11
154	0.78	39	11
155	0.76	38	12
156	0.76	38	12
157	0.78	39	11
158	0.78	39	11
159	0.78	39	11
160	0.78	39	11
161	0.76	38	12
162	0.76	38	12
163	0.74	37	13
164	0.76	38	12
165	0.78	39	11
166	0.78	39	11
167	0.78	39	11
168	0.80	40	10
169	0.80	40	10
170	0.80	40	10
171	0.80	40	10
172	0.80	40	10
173	0.80	40	10
174	0.80	40	10
175	0.80	40	10
176	0.78	39	11
177	0.78	39	11
178	0.76	38	12
179	0.74	37	13
180	0.74	37	13
181	0.74	37	13
182	0.74	37	13
183	0.76	38	12
184	0.78	39	11
185	0.76	38	12
186	0.78	39	11
187	0.78	39	11
188	0.76	38	12
189	0.76	38	12
190	0.78	39	11
191	0.78	39	11
192	0.78	39	11
193	0.78	39	11
194	0.78	39	11
195	0.78	39	11
196	0.80	40	10
197	0.80	40	10
198	0.80	40	10
199	0.80	40	10
200	0.80	40	10
201	0.80	40	10
202	0.80	40	10
203	0.80	40	10
204	0.80	40	10
205	0.80	40	10
206	0.80	40	10
207	0.80	40	10
208	0.80	40	10
209	0.80	40	10
210	0.80	40	10
211	0.82	41	9
212	0.82	41	9
213	0.84	42	8
214	0.84	42	8
215	0.84	42	8
216	0.84	42	8
217	0.84	42	8
218	0.84	42	8
219	0.84	42	8
220	0.82	41	9
221	0.82	41	9
222	0.82	41	9
223	0.82	41	9
224	0.82	41	9
225	0.82	41	9
226	0.84	42	8
227	0.84	42	8
