timestep	swarm_quality	color_0	color_1
0	0.70	35	15
1	0.70	35	15
2	0.70	35	15
3	0.70	35	15
4	0.70	35	15
5	0.70	35	15
6	0.70	35	15
7	0.70	35	15
8	0.70	35	15
9	0.68	34	16
10	0.68	34	16
11	0.68	34	16
12	0.66	33	17
13	0.66	33	17
14	0.66	33	17
15	0.66	33	17
16	0.66	33	17
17	0.66	33	17
18	0.66	33	17
19	0.66	33	17
20	0.66	33	17
21	0.66	33	17
22	0.66	33	17
23	0.66	33	17
24	0.66	33	17
25	0.66	33	17
26	0.66	33	17
27	0.66	33	17
28	0.66	33	17
29	0.66	33	17
30	0.66	33	17
31	0.66	33	17
32	0.66	33	17
33	0.66	33	17
34	0.66	33	17
35	0.68	34	16
36	0.70	35	15
37	0.72	36	14
38	0.74	37	13
39	0.76	38	12
40	0.78	39	11
41	0.80	40	10
42	0.82	41	9
43	0.84	42	8
44	0.86	43	7
45	0.88	44	6
46	0.90	45	5
47	0.92	46	4
48	0.94	47	3
49	0.96	48	2
50	0.96	48	2
51	0.96	48	2
52	0.96	48	2
53	0.96	48	2
54	0.96	48	2
55	0.96	48	2
56	0.96	48	2
57	0.96	48	2
58	0.96	48	2
59	0.98	49	1
60	0.98	49	1
61	0.96	48	2
62	0.98	49	1
63	0.98	49	1
64	0.96	48	2
65	0.96	48	2
66	0.96	48	2
67	0.96	48	2
68	0.96	48	2
69	0.96	48	2
70	0.96	48	2
71	0.96	48	2
72	0.96	48	2
73	0.96	48	2
74	0.96	48	2
75	0.96	48	2
76	0.96	48	2
77	0.96	48	2
78	0.96	48	2
79	0.96	48	2
80	0.96	48	2
81	0.96	48	2
82	0.96	48	2
83	0.96	48	2
84	0.96	48	2
85	0.96	48	2
86	0.96	48	2
87	0.96	48	2
88	0.96	48	2
89	0.96	48	2
90	0.96	48	2
91	0.96	48	2
92	0.96	48	2
93	0.96	48	2
94	0.96	48	2
95	0.96	48	2
96	0.96	48	2
97	0.96	48	2
98	0.96	48	2
99	0.96	48	2
100	0.96	48	2
101	0.96	48	2
102	0.96	48	2
103	0.96	48	2
104	0.96	48	2
105	0.96	48	2
106	0.96	48	2
107	0.96	48	2
108	0.96	48	2
109	0.96	48	2
110	0.96	48	2
111	0.98	49	1
112	0.98	49	1
113	0.98	49	1
114	1.00	50	0
115	1.00	50	0
116	1.00	50	0
117	1.00	50	0
118	1.00	50	0
119	1.00	50	0
120	1.00	50	0
121	1.00	50	0
122	1.00	50	0
123	1.00	50	0
124	1.00	50	0
125	1.00	50	0
126	1.00	50	0
127	1.00	50	0
128	1.00	50	0
129	1.00	50	0
130	1.00	50	0
131	1.00	50	0
132	1.00	50	0
133	1.00	50	0
134	1.00	50	0
135	1.00	50	0
136	1.00	50	0
137	1.00	50	0
138	1.00	50	0
139	1.00	50	0
140	1.00	50	0
141	1.00	50	0
142	1.00	50	0
143	1.00	50	0
144	1.00	50	0
145	1.00	50	0
146	1.00	50	0
147	1.00	50	0
148	1.00	50	0
149	1.00	50	0
150	1.00	50	0
151	1.00	50	0
152	1.00	50	0
153	1.00	50	0
154	1.00	50	0
155	1.00	50	0
156	1.00	50	0
157	1.00	50	0
158	1.00	50	0
159	1.00	50	0
160	1.00	50	0
161	1.00	50	0
162	1.00	50	0
163	1.00	50	0
164	1.00	50	0
165	1.00	50	0
166	1.00	50	0
167	1.00	50	0
168	1.00	50	0
169	1.00	50	0
170	1.00	50	0
171	1.00	50	0
172	1.00	50	0
173	1.00	50	0
174	1.00	50	0
175	1.00	50	0
176	1.00	50	0
177	1.00	50	0
178	1.00	50	0
179	1.00	50	0
180	1.00	50	0
181	1.00	50	0
182	1.00	50	0
183	1.00	50	0
184	1.00	50	0
185	1.00	50	0
186	1.00	50	0
187	1.00	50	0
188	1.00	50	0
189	1.00	50	0
190	1.00	50	0
191	1.00	50	0
192	1.00	50	0
193	1.00	50	0
194	1.00	50	0
195	1.00	50	0
196	1.00	50	0
197	1.00	50	0
198	1.00	50	0
199	1.00	50	0
200	1.00	50	0
201	1.00	50	0
202	1.00	50	0
203	1.00	50	0
204	1.00	50	0
205	1.00	50	0
206	1.00	50	0
207	1.00	50	0
208	1.00	50	0
209	1.00	50	0
210	1.00	50	0
211	1.00	50	0
212	1.00	50	0
213	1.00	50	0
214	1.00	50	0
215	1.00	50	0
216	1.00	50	0
217	1.00	50	0
218	1.00	50	0
219	1.00	50	0
220	1.00	50	0
221	1.00	50	0
222	1.00	50	0
223	1.00	50	0
224	1.00	50	0
225	1.00	50	0
226	1.00	50	0
227	1.00	50	0
