timestep	swarm_quality	color_0	color_1	color_2	color_3	color_4
0	0.70	35	5	1	4	5
1	0.70	35	5	1	4	5
2	0.70	35	5	1	4	5
3	0.70	35	5	1	4	5
4	0.70	35	5	1	4	5
5	0.70	35	5	1	4	5
6	0.70	35	5	1	4	5
7	0.70	35	5	1	4	5
8	0.70	35	5	1	4	5
9	0.70	35	5	1	4	5
10	0.70	35	5	1	4	5
11	0.70	35	5	1	4	5
12	0.70	35	5	1	4	5
13	0.70	35	5	1	4	5
14	0.68	34	5	2	4	5
15	0.66	33	6	2	4	5
16	0.66	33	6	2	4	5
17	0.66	33	6	2	4	5
18	0.66	33	6	2	4	5
19	0.66	33	6	2	4	5
20	0.66	33	6	2	4	5
21	0.66	33	6	2	4	5
22	0.66	33	6	2	4	5
23	0.66	33	6	2	4	5
24	0.66	33	6	2	4	5
25	0.66	33	6	2	4	5
26	0.66	33	6	2	4	5
27	0.66	33	6	2	4	5
28	0.66	33	6	2	4	5
29	0.64	32	6	2	4	6
30	0.64	32	6	2	4	6
31	0.64	32	6	2	4	6
32	0.64	32	6	2	4	6
33	0.64	32	6	2	4	6
34	0.62	31	7	2	4	6
35	0.64	32	6	2	4	6
36	0.66	33	6	2	4	5
37	0.68	34	6	2	3	5
38	0.68	34	6	1	4	5
39	0.70	35	5	1	4	5
40	0.72	36	4	1	4	5
41	0.74	37	3	1	4	5
42	0.76	38	2	1	4	5
43	0.78	39	2	1	3	5
44	0.80	40	2	1	3	4
45	0.80	40	2	1	3	4
46	0.82	41	2	1	3	3
47	0.84	42	2	1	3	2
48	0.84	42	3	1	2	2
49	0.86	43	3	1	2	1
50	0.86	43	3	1	2	1
51	0.86	43	3	1	2	1
52	0.86	43	3	1	2	1
53	0.86	43	3	1	2	1
54	0.86	43	3	1	2	1
55	0.86	43	3	1	2	1
56	0.84	42	4	1	2	1
57	0.84	42	4	1	2	1
58	0.84	42	4	1	2	1
59	0.82	41	5	1	2	1
60	0.82	41	5	1	2	1
61	0.80	40	5	1	2	2
62	0.80	40	5	1	2	2
63	0.80	40	5	1	2	2
64	0.82	41	5	0	2	2
65	0.84	42	4	0	2	2
66	0.84	42	4	0	2	2
67	0.84	42	4	0	2	2
68	0.84	42	4	0	2	2
69	0.84	42	4	0	2	2
70	0.84	42	4	0	2	2
71	0.84	42	4	0	2	2
72	0.84	42	4	0	2	2
73	0.82	41	4	0	3	2
74	0.82	41	4	0	3	2
75	0.80	40	4	1	3	2
76	0.80	40	4	1	3	2
77	0.78	39	4	1	3	3
78	0.78	39	4	1	3	3
79	0.80	40	4	1	3	2
80	0.78	39	4	2	3	2
81	0.78	39	4	2	3	2
82	0.78	39	4	2	3	2
83	0.78	39	4	2	3	2
84	0.80	40	3	2	3	2
85	0.80	40	3	2	3	2
86	0.80	40	3	2	3	2
87	0.80	40	3	2	3	2
88	0.82	41	3	2	2	2
89	0.82	41	3	2	2	2
90	0.80	40	4	2	2	2
91	0.80	40	4	2	2	2
92	0.80	40	4	2	2	2
93	0.80	40	4	2	2	2
94	0.80	40	4	2	2	2
95	0.80	40	4	2	2	2
96	0.80	40	4	2	2	2
97	0.80	40	4	2	2	2
98	0.82	41	3	2	2	2
99	0.80	40	4	2	2	2
100	0.80	40	4	2	2	2
101	0.80	40	4	2	2	2
102	0.80	40	4	2	2	2
103	0.80	40	4	2	2	2
104	0.78	39	4	2	2	3
105	0.78	39	4	2	2	3
106	0.80	40	3	2	2	3
107	0.78	39	4	2	2	3
108	0.78	39	4	2	2	3
109	0.80	40	3	2	2	3
110	0.80	40	3	2	2	3
111	0.80	40	3	2	2	3
112	0.80	40	3	2	2	3
113	0.80	40	3	2	2	3
114	0.80	40	3	2	2	3
115	0.80	40	3	2	2	3
116	0.80	40	3	2	2	3
117	0.80	40	3	2	2	3
118	0.80	40	3	2	2	3
119	0.80	40	3	2	2	3
120	0.80	40	3	2	2	3
121	0.80	40	3	2	2	3
122	0.80	40	3	2	2	3
123	0.82	41	3	2	1	3
124	0.82	41	3	2	1	3
125	0.84	42	3	1	1	3
126	0.84	42	3	1	1	3
127	0.86	43	3	1	1	2
128	0.86	43	3	1	1	2
129	0.86	43	3	1	1	2
130	0.88	44	3	0	1	2
131	0.88	44	3	0	1	2
132	0.88	44	3	0	1	2
133	0.86	43	3	0	2	2
134	0.86	43	3	0	2	2
135	0.86	43	3	0	2	2
136	0.86	43	3	0	2	2
137	0.84	42	3	0	3	2
138	0.84	42	3	0	3	2
139	0.84	42	3	0	3	2
140	0.86	43	2	0	3	2
141	0.86	43	2	0	3	2
142	0.86	43	2	0	3	2
143	0.86	43	2	0	3	2
144	0.86	43	2	0	3	2
145	0.88	44	2	0	2	2
146	0.88	44	2	0	2	2
147	0.88	44	2	0	2	2
148	0.88	44	2	0	2	2
149	0.90	45	1	0	2	2
150	0.90	45	1	0	2	2
151	0.90	45	1	0	2	2
152	0.90	45	1	0	2	2
153	0.90	45	1	0	2	2
154	0.92	46	1	0	2	1
155	0.92	46	1	0	2	1
156	0.92	46	1	0	2	1
