timestep	swarm_quality	color_0	color_1	color_2	color_3	color_4
0	0.70	70	11	8	6	5
1	0.69	69	11	8	6	6
2	0.69	69	11	8	6	6
3	0.68	68	11	8	7	6
4	0.67	67	11	9	7	6
5	0.67	67	11	9	7	6
6	0.67	67	11	9	7	6
7	0.66	66	11	9	8	6
8	0.66	66	11	9	8	6
9	0.66	66	11	9	8	6
10	0.66	66	11	9	8	6
11	0.65	65	12	9	8	6
12	0.65	65	12	9	8	6
13	0.65	65	12	9	8	6
14	0.65	65	12	9	8	6
15	0.64	64	12	9	9	6
16	0.64	64	12	9	9	6
17	0.64	64	12	9	9	6
18	0.63	63	12	9	10	6
19	0.62	62	13	9	10	6
20	0.62	62	13	9	10	6
21	0.62	62	13	9	10	6
22	0.62	62	13	9	10	6
23	0.62	62	13	9	10	6
24	0.62	62	13	9	10	6
25	0.62	62	13	9	10	6
26	0.62	62	13	9	10	6
27	0.62	62	13	9	10	6
28	0.62	62	13	9	10	6
29	0.62	62	13	9	10	6
30	0.62	62	13	9	10	6
31	0.62	62	13	9	10	6
32	0.62	62	13	9	10	6
33	0.62	62	13	9	10	6
34	0.62	62	13	9	10	6
35	0.61	61	14	9	10	6
36	0.61	61	14	9	10	6
37	0.61	61	14	9	10	6
38	0.61	61	14	9	10	6
39	0.61	61	14	9	10	6
40	0.61	61	14	9	10	6
41	0.60	60	14	9	10	7
42	0.60	60	14	9	10	7
43	0.60	60	14	9	10	7
44	0.60	60	14	9	10	7
45	0.59	59	15	9	10	7
46	0.59	59	15	9	10	7
47	0.58	58	15	9	11	7
48	0.57	57	15	9	11	8
49	0.57	57	15	9	11	8
50	0.57	57	15	9	11	8
51	0.57	57	15	9	11	8
52	0.57	57	15	9	11	8
53	0.56	56	16	9	11	8
54	0.56	56	16	9	11	8
55	0.56	56	16	9	11	8
56	0.56	56	16	9	11	8
57	0.56	56	16	9	11	8
58	0.56	56	16	9	11	8
59	0.56	56	16	9	11	8
60	0.56	56	16	9	11	8
61	0.56	56	16	9	11	8
62	0.56	56	16	9	11	8
63	0.55	55	16	10	11	8
64	0.55	55	16	10	11	8
65	0.55	55	16	10	11	8
66	0.55	55	16	10	11	8
67	0.55	55	16	10	11	8
68	0.55	55	16	10	11	8
69	0.54	54	17	10	11	8
70	0.54	54	16	10	12	8
71	0.55	55	15	10	12	8
72	0.56	56	14	10	12	8
73	0.57	57	14	9	12	8
74	0.58	58	13	9	12	8
75	0.59	59	12	9	12	8
76	0.60	60	12	8	12	8
77	0.61	61	11	8	12	8
78	0.62	62	11	8	12	7
79	0.63	63	11	8	12	6
80	0.64	64	11	8	11	6
81	0.65	65	11	8	11	5
82	0.65	65	11	8	11	5
83	0.66	66	11	8	10	5
84	0.66	66	11	7	10	6
85	0.67	67	10	7	10	6
86	0.68	68	9	7	10	6
87	0.69	69	9	6	10	6
88	0.69	69	10	5	10	6
89	0.70	70	10	4	10	6
90	0.71	71	10	3	10	6
91	0.72	72	10	3	9	6
92	0.73	73	10	2	9	6
93	0.74	74	10	2	8	6
94	0.75	75	10	2	8	5
95	0.76	76	9	2	8	5
96	0.77	77	9	2	7	5
97	0.78	78	8	2	7	5
98	0.79	79	7	2	7	5
99	0.80	80	7	2	6	5
100	0.80	80	7	2	6	5
101	0.81	81	7	2	6	4
102	0.81	81	7	2	6	4
103	0.82	82	7	2	5	4
104	0.83	83	7	1	5	4
105	0.83	83	7	1	5	4
106	0.83	83	7	1	5	4
107	0.84	84	7	1	4	4
108	0.83	83	7	2	4	4
109	0.83	83	7	2	4	4
110	0.83	83	7	2	4	4
111	0.84	84	6	2	4	4
112	0.84	84	6	2	4	4
113	0.84	84	6	2	4	4
114	0.84	84	6	2	4	4
115	0.84	84	6	2	4	4
116	0.83	83	6	3	4	4
117	0.83	83	6	3	4	4
118	0.84	84	6	3	3	4
119	0.85	85	5	3	3	4
120	0.85	85	5	3	3	4
121	0.84	84	6	3	3	4
122	0.84	84	6	3	3	4
123	0.84	84	6	3	3	4
124	0.84	84	6	3	3	4
125	0.83	83	6	4	3	4
126	0.83	83	6	4	3	4
127	0.83	83	6	4	3	4
128	0.83	83	6	4	3	4
129	0.83	83	6	4	3	4
130	0.83	83	6	4	3	4
131	0.83	83	6	4	3	4
132	0.83	83	6	4	3	4
133	0.83	83	6	4	3	4
134	0.83	83	6	4	3	4
135	0.84	84	5	4	3	4
136	0.84	84	5	4	3	4
137	0.84	84	5	4	3	4
138	0.84	84	5	4	3	4
139	0.84	84	5	4	3	4
140	0.84	84	5	4	3	4
141	0.85	85	5	4	3	3
142	0.85	85	5	4	3	3
143	0.85	85	5	4	3	3
144	0.85	85	5	4	3	3
145	0.86	86	4	4	3	3
146	0.86	86	4	4	3	3
147	0.87	87	4	4	2	3
148	0.88	88	4	4	2	2
149	0.88	88	4	4	2	2
150	0.87	87	4	5	2	2
151	0.87	87	4	5	2	2
152	0.87	87	4	5	2	2
153	0.88	88	3	5	2	2
154	0.88	88	3	5	2	2
155	0.88	88	3	5	2	2
156	0.88	88	3	5	2	2
157	0.87	87	3	5	2	3
158	0.87	87	3	5	2	3
159	0.87	87	3	5	2	3
160	0.87	87	3	5	2	3
161	0.86	86	4	5	2	3
162	0.86	86	4	5	2	3
163	0.87	87	4	4	2	3
164	0.87	87	4	4	2	3
165	0.87	87	4	4	2	3
166	0.87	87	4	4	2	3
167	0.86	86	4	4	2	4
168	0.86	86	4	4	2	4
169	0.87	87	3	4	2	4
170	0.88	88	3	4	1	4
171	0.88	88	3	4	1	4
172	0.88	88	3	4	1	4
173	0.88	88	3	4	1	4
174	0.88	88	3	4	1	4
175	0.88	88	3	4	1	4
176	0.88	88	3	4	1	4
177	0.88	88	3	4	1	4
178	0.88	88	3	4	1	4
179	0.87	87	3	4	1	5
180	0.87	87	3	4	1	5
181	0.87	87	3	4	1	5
182	0.88	88	3	4	1	4
183	0.88	88	3	4	1	4
184	0.89	89	3	4	1	3
185	0.89	89	3	4	1	3
186	0.89	89	3	4	1	3
187	0.89	89	3	4	1	3
188	0.90	90	2	4	1	3
189	0.90	90	2	4	1	3
190	0.90	90	2	4	1	3
191	0.89	89	3	4	1	3
192	0.89	89	3	4	1	3
193	0.89	89	3	4	1	3
194	0.89	89	3	4	1	3
195	0.89	89	3	4	1	3
196	0.89	89	3	4	1	3
197	0.89	89	3	4	1	3
198	0.88	88	4	4	1	3
199	0.88	88	4	4	1	3
200	0.87	87	5	4	1	3
201	0.87	87	5	4	1	3
202	0.87	87	5	4	1	3
203	0.87	87	5	4	1	3
204	0.87	87	5	4	1	3
205	0.87	87	5	4	1	3
206	0.86	86	5	5	1	3
207	0.85	85	6	5	1	3
208	0.86	86	6	4	1	3
209	0.86	86	6	4	1	3
210	0.85	85	6	5	1	3
211	0.85	85	6	5	1	3
212	0.85	85	6	5	1	3
213	0.85	85	6	5	1	3
214	0.85	85	6	5	1	3
215	0.86	86	6	5	0	3
216	0.87	87	6	4	0	3
217	0.87	87	6	4	0	3
218	0.87	87	6	4	0	3
219	0.86	86	6	4	1	3
220	0.86	86	6	4	1	3
221	0.86	86	5	4	1	4
222	0.86	86	5	4	1	4
223	0.86	86	5	4	1	4
224	0.85	85	6	4	1	4
225	0.86	86	6	3	1	4
226	0.86	86	6	3	1	4
227	0.86	86	6	3	1	4
228	0.86	86	6	3	1	4
229	0.86	86	6	3	1	4
230	0.86	86	6	3	1	4
231	0.86	86	6	3	1	4
232	0.86	86	6	3	1	4
233	0.86	86	6	3	1	4
234	0.86	86	6	3	1	4
235	0.86	86	6	3	1	4
236	0.85	85	6	3	2	4
237	0.85	85	6	3	2	4
238	0.85	85	6	3	2	4
239	0.85	85	6	3	2	4
240	0.84	84	7	3	2	4
241	0.84	84	7	3	2	4
242	0.84	84	7	3	2	4
