timestep	swarm_quality	color_0	color_1	color_2	color_3	color_4
0	0.70	35	4	5	4	2
1	0.70	35	4	5	4	2
2	0.70	35	4	5	4	2
3	0.70	35	4	5	4	2
4	0.70	35	4	5	4	2
5	0.70	35	4	5	4	2
6	0.70	35	4	5	4	2
7	0.70	35	4	5	4	2
8	0.70	35	4	5	4	2
9	0.70	35	4	5	4	2
10	0.70	35	4	5	4	2
11	0.70	35	4	5	4	2
12	0.70	35	4	5	4	2
13	0.70	35	4	5	4	2
14	0.70	35	4	5	4	2
15	0.70	35	4	5	4	2
16	0.68	34	5	5	4	2
17	0.68	34	5	5	4	2
18	0.68	34	5	5	4	2
19	0.68	34	5	5	4	2
20	0.68	34	5	5	4	2
21	0.68	34	5	5	4	2
22	0.68	34	5	5	4	2
23	0.68	34	5	5	4	2
24	0.68	34	5	5	4	2
25	0.68	34	5	5	4	2
26	0.68	34	5	5	4	2
27	0.68	34	5	5	4	2
28	0.68	34	5	5	4	2
29	0.68	34	5	5	4	2
30	0.68	34	5	5	4	2
31	0.68	34	5	5	4	2
32	0.68	34	5	5	4	2
33	0.68	34	5	5	4	2
34	0.66	33	5	5	4	3
35	0.68	34	5	4	4	3
36	0.70	35	5	4	3	3
37	0.72	36	5	4	3	2
38	0.74	37	4	4	3	2
39	0.76	38	4	3	3	2
40	0.78	39	3	3	3	2
41	0.80	40	3	3	2	2
42	0.82	41	3	3	1	2
43	0.84	42	3	2	1	2
44	0.86	43	3	2	1	1
45	0.88	44	2	2	1	1
46	0.90	45	1	2	1	1
47	0.92	46	1	2	0	1
48	0.94	47	1	1	0	1
49	0.96	48	1	0	0	1
50	0.96	48	1	0	0	1
51	0.96	48	1	0	0	1
52	0.96	48	1	0	0	1
53	0.96	48	1	0	0	1
54	0.96	48	1	0	0	1
55	0.96	48	1	0	0	1
56	0.96	48	1	0	0	1
57	0.96	48	1	0	0	1
58	0.96	48	1	0	0	1
59	0.96	48	1	0	0	1
60	0.96	48	1	0	0	1
61	0.96	48	1	0	0	1
62	0.96	48	1	0	0	1
63	0.96	48	1	0	0	1
64	0.96	48	1	0	0	1
65	0.96	48	1	0	0	1
66	0.98	49	0	0	0	1
67	0.98	49	0	0	0	1
68	0.98	49	0	0	0	1
69	0.98	49	0	0	0	1
70	0.98	49	0	0	0	1
71	0.98	49	0	0	0	1
72	0.98	49	0	0	0	1
73	0.98	49	0	0	0	1
74	0.98	49	0	0	0	1
75	0.98	49	0	0	0	1
76	0.98	49	0	0	0	1
77	0.98	49	0	0	0	1
78	0.98	49	0	0	0	1
79	0.98	49	0	0	0	1
80	0.98	49	0	0	0	1
81	0.98	49	0	0	0	1
82	0.98	49	0	0	0	1
83	0.98	49	0	0	0	1
84	1.00	50	0	0	0	0
85	1.00	50	0	0	0	0
86	1.00	50	0	0	0	0
87	1.00	50	0	0	0	0
88	1.00	50	0	0	0	0
89	1.00	50	0	0	0	0
90	1.00	50	0	0	0	0
91	1.00	50	0	0	0	0
92	1.00	50	0	0	0	0
93	1.00	50	0	0	0	0
94	1.00	50	0	0	0	0
95	1.00	50	0	0	0	0
96	1.00	50	0	0	0	0
97	1.00	50	0	0	0	0
98	1.00	50	0	0	0	0
99	1.00	50	0	0	0	0
100	1.00	50	0	0	0	0
101	1.00	50	0	0	0	0
102	1.00	50	0	0	0	0
103	1.00	50	0	0	0	0
104	1.00	50	0	0	0	0
105	1.00	50	0	0	0	0
106	1.00	50	0	0	0	0
107	1.00	50	0	0	0	0
108	1.00	50	0	0	0	0
109	1.00	50	0	0	0	0
110	1.00	50	0	0	0	0
111	1.00	50	0	0	0	0
112	1.00	50	0	0	0	0
113	1.00	50	0	0	0	0
114	1.00	50	0	0	0	0
