timestep	swarm_quality	color_0	color_1	color_2	color_3	color_4
0	0.70	70	10	5	9	6
1	0.69	69	10	5	10	6
2	0.69	69	10	5	10	6
3	0.69	69	10	5	10	6
4	0.69	69	10	5	10	6
5	0.68	68	11	5	10	6
6	0.68	68	11	5	10	6
7	0.68	68	11	5	10	6
8	0.68	68	11	5	10	6
9	0.68	68	11	5	10	6
10	0.68	68	11	5	10	6
11	0.68	68	11	5	10	6
12	0.68	68	11	5	10	6
13	0.68	68	11	5	10	6
14	0.68	68	11	5	10	6
15	0.67	67	11	6	10	6
16	0.67	67	11	6	10	6
17	0.67	67	11	6	10	6
18	0.67	67	11	6	10	6
19	0.67	67	11	6	10	6
20	0.67	67	11	6	10	6
21	0.67	67	11	6	10	6
22	0.67	67	11	6	10	6
23	0.66	66	11	6	11	6
24	0.66	66	11	6	11	6
25	0.66	66	11	6	11	6
26	0.66	66	11	6	11	6
27	0.66	66	11	6	11	6
28	0.66	66	11	6	11	6
29	0.66	66	11	6	11	6
30	0.66	66	11	6	11	6
31	0.66	66	11	6	11	6
32	0.66	66	11	6	11	6
33	0.66	66	11	6	11	6
34	0.65	65	11	6	12	6
35	0.65	65	11	6	12	6
36	0.65	65	11	6	12	6
37	0.64	64	11	7	12	6
38	0.64	64	11	7	12	6
39	0.64	64	11	7	12	6
40	0.64	64	11	7	12	6
41	0.64	64	11	7	12	6
42	0.64	64	11	7	12	6
43	0.64	64	11	7	12	6
44	0.64	64	11	7	12	6
45	0.64	64	11	7	12	6
46	0.64	64	11	7	12	6
47	0.64	64	11	7	12	6
48	0.64	64	11	7	12	6
49	0.64	64	11	7	12	6
50	0.64	64	11	7	12	6
51	0.63	63	11	8	12	6
52	0.63	63	11	8	12	6
53	0.63	63	11	8	12	6
54	0.63	63	11	8	12	6
55	0.63	63	11	8	12	6
56	0.63	63	11	8	12	6
57	0.63	63	11	8	12	6
58	0.63	63	11	8	12	6
59	0.63	63	11	8	12	6
60	0.63	63	11	8	12	6
61	0.63	63	11	8	12	6
62	0.62	62	11	8	12	7
63	0.62	62	11	8	12	7
64	0.62	62	11	8	12	7
65	0.62	62	11	8	12	7
66	0.62	62	11	8	12	7
67	0.62	62	11	8	12	7
68	0.61	61	11	8	12	8
69	0.61	61	11	8	12	8
70	0.62	62	11	8	11	8
71	0.62	62	12	7	11	8
72	0.63	63	12	7	10	8
73	0.64	64	12	7	9	8
74	0.65	65	12	6	9	8
75	0.66	66	12	6	9	7
76	0.67	67	11	6	9	7
77	0.68	68	11	6	8	7
78	0.69	69	10	6	8	7
79	0.70	70	9	6	8	7
80	0.71	71	8	6	8	7
81	0.72	72	8	5	8	7
82	0.73	73	8	4	8	7
83	0.74	74	8	4	8	6
84	0.75	75	8	4	8	5
85	0.76	76	7	4	8	5
86	0.77	77	6	4	8	5
87	0.78	78	6	4	8	4
88	0.79	79	5	4	8	4
89	0.79	79	6	3	8	4
90	0.80	80	6	3	8	3
91	0.80	80	6	4	7	3
92	0.81	81	6	4	6	3
93	0.82	82	6	4	5	3
94	0.83	83	5	4	5	3
95	0.84	84	4	4	5	3
96	0.85	85	4	4	5	2
97	0.86	86	3	4	5	2
98	0.87	87	3	4	4	2
99	0.88	88	3	4	3	2
100	0.88	88	3	4	3	2
101	0.89	89	3	4	2	2
102	0.89	89	3	4	2	2
103	0.89	89	3	4	2	2
104	0.89	89	3	4	2	2
105	0.90	90	2	4	2	2
106	0.90	90	2	4	2	2
107	0.90	90	2	4	2	2
108	0.89	89	2	4	2	3
109	0.89	89	2	4	2	3
110	0.89	89	2	4	2	3
111	0.89	89	2	4	2	3
112	0.89	89	2	4	2	3
113	0.88	88	3	4	2	3
114	0.87	87	3	5	2	3
115	0.88	88	3	4	2	3
116	0.87	87	3	4	2	4
117	0.87	87	3	4	2	4
118	0.87	87	3	4	2	4
119	0.87	87	3	4	2	4
120	0.87	87	3	4	2	4
121	0.87	87	3	4	2	4
122	0.87	87	3	4	2	4
123	0.88	88	3	4	1	4
124	0.88	88	3	4	1	4
125	0.88	88	3	4	1	4
126	0.88	88	3	4	1	4
127	0.87	87	3	5	1	4
128	0.87	87	3	5	1	4
129	0.87	87	3	5	1	4
130	0.87	87	3	5	1	4
131	0.87	87	3	5	1	4
132	0.87	87	3	5	1	4
133	0.87	87	3	5	1	4
134	0.88	88	3	5	0	4
135	0.88	88	3	5	0	4
136	0.88	88	3	5	0	4
137	0.89	89	3	4	0	4
138	0.89	89	3	4	0	4
139	0.89	89	3	4	0	4
140	0.89	89	3	4	0	4
