timestep	swarm_quality	color_0	color_1	color_2	color_3	color_4
0	0.70	70	11	12	3	4
1	0.70	70	11	12	3	4
2	0.70	70	11	12	3	4
3	0.69	69	11	12	4	4
4	0.69	69	11	12	4	4
5	0.69	69	11	12	4	4
6	0.69	69	11	12	4	4
7	0.69	69	11	12	4	4
8	0.69	69	11	12	4	4
9	0.69	69	11	12	4	4
10	0.69	69	11	12	4	4
11	0.69	69	11	12	4	4
12	0.69	69	11	12	4	4
13	0.69	69	11	12	4	4
14	0.69	69	11	12	4	4
15	0.69	69	11	12	4	4
16	0.69	69	11	12	4	4
17	0.69	69	11	12	4	4
18	0.69	69	11	12	4	4
19	0.69	69	11	12	4	4
20	0.69	69	11	12	4	4
21	0.69	69	11	12	4	4
22	0.69	69	11	12	4	4
23	0.69	69	11	12	4	4
24	0.69	69	11	12	4	4
25	0.69	69	11	12	4	4
26	0.69	69	11	12	4	4
27	0.69	69	11	12	4	4
28	0.69	69	11	12	4	4
29	0.69	69	11	12	4	4
30	0.69	69	11	12	4	4
31	0.69	69	11	12	4	4
32	0.69	69	11	12	4	4
33	0.69	69	11	12	4	4
34	0.69	69	11	12	4	4
35	0.69	69	11	12	4	4
36	0.69	69	11	12	4	4
37	0.69	69	11	12	4	4
38	0.69	69	11	12	4	4
39	0.69	69	11	12	4	4
40	0.69	69	11	12	4	4
41	0.69	69	11	12	4	4
42	0.69	69	11	12	4	4
43	0.69	69	11	12	4	4
44	0.69	69	11	12	4	4
45	0.69	69	11	12	4	4
46	0.69	69	11	12	4	4
47	0.69	69	11	12	4	4
48	0.69	69	11	12	4	4
49	0.69	69	11	12	4	4
50	0.69	69	11	12	4	4
51	0.69	69	11	12	4	4
52	0.69	69	11	12	4	4
53	0.69	69	11	12	4	4
54	0.68	68	11	12	4	5
55	0.68	68	11	12	4	5
56	0.68	68	11	12	4	5
57	0.68	68	11	12	4	5
58	0.68	68	11	12	4	5
59	0.67	67	11	13	4	5
60	0.67	67	11	13	4	5
61	0.67	67	11	13	4	5
62	0.67	67	11	13	4	5
63	0.67	67	11	13	4	5
64	0.67	67	11	13	4	5
65	0.66	66	11	13	4	6
66	0.66	66	11	13	4	6
67	0.66	66	11	13	4	6
68	0.66	66	11	13	4	6
69	0.66	66	11	13	4	6
70	0.67	67	11	12	4	6
71	0.68	68	10	12	4	6
72	0.69	69	9	12	4	6
73	0.70	70	8	12	4	6
74	0.71	71	8	11	4	6
75	0.72	72	8	10	4	6
76	0.73	73	8	10	3	6
77	0.74	74	8	10	2	6
78	0.75	75	8	10	2	5
79	0.76	76	7	10	2	5
80	0.77	77	7	9	2	5
81	0.78	78	7	9	2	4
82	0.79	79	7	8	2	4
83	0.80	80	6	8	2	4
84	0.81	81	6	7	2	4
85	0.82	82	5	7	2	4
86	0.83	83	5	6	2	4
87	0.84	84	5	5	2	4
88	0.85	85	5	4	2	4
89	0.86	86	5	3	2	4
90	0.87	87	5	2	2	4
91	0.88	88	5	2	2	3
92	0.89	89	4	2	2	3
93	0.90	90	4	2	2	2
94	0.91	91	3	2	2	2
95	0.92	92	2	2	2	2
96	0.93	93	1	2	2	2
97	0.94	94	1	2	1	2
98	0.95	95	0	2	1	2
99	0.96	96	0	1	1	2
100	0.96	96	0	1	1	2
101	0.96	96	0	1	1	2
102	0.96	96	0	1	1	2
103	0.97	97	0	1	0	2
104	0.97	97	0	1	0	2
105	0.97	97	0	1	0	2
106	0.97	97	0	1	0	2
107	0.97	97	0	1	0	2
108	0.97	97	0	1	0	2
109	0.97	97	0	1	0	2
110	0.97	97	0	1	0	2
111	0.97	97	0	1	0	2
112	0.97	97	0	1	0	2
113	0.97	97	0	1	0	2
114	0.97	97	0	1	0	2
115	0.97	97	0	1	0	2
116	0.97	97	0	1	0	2
117	0.97	97	0	1	0	2
118	0.97	97	0	1	0	2
119	0.97	97	0	1	0	2
120	0.97	97	0	1	0	2
121	0.97	97	0	1	0	2
122	0.97	97	0	1	0	2
123	0.97	97	0	1	0	2
124	0.97	97	0	1	0	2
125	0.97	97	0	1	0	2
126	0.97	97	0	1	0	2
127	0.97	97	0	1	0	2
128	0.97	97	0	1	0	2
129	0.97	97	0	1	0	2
130	0.97	97	0	1	0	2
131	0.97	97	0	1	0	2
132	0.97	97	0	1	0	2
133	0.97	97	0	1	0	2
134	0.97	97	0	1	0	2
135	0.97	97	0	1	0	2
136	0.97	97	0	1	0	2
